hash,commit_size,num_test_files
22ee79d7710d4be45f5682ee87ee9c67e507662d,117,0
fac6418f1345fcc69b45f00551225c710b3dac08,117,0
9dbd3bd27c99b3be4e3e109988fcdfc92e9ca4d4,202,0
e7c9be6da1f5a065923e23df91ed852dc8974057,23520,34
1821f3fde83b99f0aeb9ec2b6f4c631de073f36c,1810,33
61496230585836b9d9368d0c2609b6a5bfe34e8f,29338,44
105bcc08b9199da748333c3852c82458982bc919,3570,17
4b228ba7531983f6005286deaed979d671b12d37,3,0
df7a4ed43d758bdba857b3205f2eeba19916946c,4496,22
527cc70a23a358836927a8f74202d0261ead2751,957,5
fd45f35cadbfa3ebb17020546824a15f3b86e067,157,0
00958f1989e48083a38b3b6ff2c9deb79855b681,467,6
24ff255fd74402cb6a4102796343a75fd6f2bced,2054,22
a2890b95e74c8fbd47a2ec4494588daa76e1b059,52,0
c022e366762b39b7d6af6690350cfe4e5257eec9,27,0
2339e87f3cbccbac31c4b008a5d2c6fb2a16d8eb,277,4
2b6c24f38287870c821d14b9911fa38871faadb6,1568,0
ccc04a243fc1bb9d4ef3a7dc003fab1a3bfc0c3e,260,0
ce9855ca52965f825f4a7c980c21b9a9ed057f24,1,0
fd5075da09b8b5a5831425d95aefef37a305ba99,2,0
404d546aeea35c208c808e731f4e603a30e85205,60,0
de58f820a75697f31bfa7af7a16b3904c9336653,5,0
45caf2683b85d96c9764ed34934f7a5b1059ca39,59068,0
bb4025742606c6abea85fbf99cffec5c3a2a2750,137,0
44509b54c1a47015fd65d5c475b4f04fa6cd9805,3,0
6349d66f2c399d963e30768423e8aaf477e1c5cd,547,0
0f364aacdf0bef23eac2006c5ef756abba1468a7,26,0
8523183a31ab02be8acdf38e95a2a08fb00a8cc0,1497,0
053002748f6aefd1b15a2dbe14f61cf6b65986f7,633,0
1ba1cde784df644cb821d62ce7b575fdca9e3ad0,461,0
35bfbbd03d9843255afd790bef08c8b842712647,680,0
3eb31caa89d83e76ae83e533eda29349f987d0d9,697,0
719dfda7314ca393c27541dbd0e4c548e1f5104c,60,0
4a6fe5ce85d79fdd5d9791dc8d963069a2592056,1966,1
c87b0d2a1bc1b6986ea655a7f6da8c7438b54dcc,11986,0
cc6651e226434d5194dd27a720de7e58c3f87e4b,3,0
1d5f2e75a8b3867bd4341758495861ffa48ea809,87,0
e2111017a185e519ff2073a03022a0ea5a9e3e46,25,0
b43c6617cac0bda5099d25605355b783c33d6990,2984,0
d5b7085e0212ea602af94da194781db8cd03641a,55,0
c4040319ac604f03089bbd32bee16c64613c3921,19923,0
4d569ae95e9c36b4f432efd9c2b1c76a382cd781,1090,0
60e82e178bd744a830d5cdbdd09d7cc392c413f5,292,0
adb118e61a8c527847147a947794cecdbbcb3b6b,3,0
7a26bbb0d747f98842542c9c06ec20cc54c3cbf4,717,0
cfd4e83d24eff3a98d7df710a9b9be98fa0d22fa,161,0
23ad1f91943191fce529f87bb49c7d0dc0e3ac9b,151,0
ed75bfd0a78d46803023e82a38e4fecbe3ff4d86,514,0
dabbaa028de6a024ffbe55511fe97fc64df7b442,231,0
87e49dbd7307414169d55f6de0aceb5bbe2acee4,160,1
e9443cfed9c9fcb524854218a50adf9f379e1c4e,1423,0
