hash,lines,files,num_test_files,commit_size
7016f154b20b9ba48fdb2f923d16de59fe5c7c92,775810,2675,2,778485
e452e93e4bee1724747a41ffd60052ac30dbab70,10,1,0,11
4e8e3e6573926bdd227b4b499e14bb8da6727dce,14,1,0,15
91292e49263278d6ff7265383b57ebe3df03100d,3593,34,0,3627
dddf98b8c5910cb804c4fe29566e95b7fcf17c94,717,11,0,728
87a37925755a32051d6b45d58daf6a7a9f16b83f,3607,35,0,3642
dfd3850b78fbce14360ea04b405ce9687d655474,4288,181,0,4469
4d024ca9dc64d7b65171446e5c4b668eb6b7e34d,1627,21,0,1648
f9a6ce4a71c6b605a9ade08786a959f3674de7bc,4288,181,0,4469
a917aa435324c311628682d367b7f93569961b51,22,10,0,32
42c1cb2f790bd473a11f6455f23006e8f7522087,1627,21,0,1648
6efcb1cbec512883920956a50d54e4843dd1760b,32,4,0,36
6e4f023f51f312884a354f08332fe496042304ef,22,10,0,32
beaa161dc486fa56b95a946e36e3e4b1b31ec7a4,387,11,0,398
7f0dbe91085179ce5825a4e7cc9863dfcfdbfe5a,37,1,0,38
f72893be7a86290128560deb885fbd3a7fb962ee,4410,143,0,4553
129bf3d4722477f12b1e8b175baa91daef8180fb,53,14,0,67
5d34e8b3975c13fe99401544200384e9f24cd78b,2,1,0,3
c30f7bd8db4c81c8737ea7f55ba6236e9d6c9b4f,3290,225,0,3515
d46db7e0470075125e8c8a24a283ee66dc16b13d,481,9,0,490
ab5fce8cc7d2a0efad2b99305ec3cc5059c141f4,310,11,0,321
e3be5626fae00ad1b1eca869bf4029da6adca560,1298,11,0,1309
732a0d4abebce7aa3c68f4a900f9469422c622bd,91,15,0,106
3465efbbb2d42b6b7dceb080d14a9f49bf1b9d24,32,3,0,35
e0416b33458073232c2cd7a88d6c9431ff32e550,123,18,0,141
04c891f258f571280acadd8f095caf7df9872930,1279,28,0,1307
addf11d0dfbc630408683d1df5e5b23ef5bd2e60,45161,13,0,45174
e626f3a626bc6ddf9b267fc3f3d245b5eec8e594,658,19,0,677
5e375cb71b01ae5935ba42620f3c69864f4423a4,272,1,0,273
1dfb8b8d6046f5323789aadd48c45de51d53f952,75,7,0,82
862f6395809d759a186640fa2a3af8bdcb783d5d,227,12,0,239
b6dae24bd5fdecd2e3cfe39630c04da216c0f881,3020,38,0,3058
24fdd9eed58a2b6736f18201559b358c518381cd,84,1,0,85
c93cd5a9cbbbb6fea089c9fb88409200e9cc6ae3,230,5,0,235
17ac609b924c6badb7260a07b3499577aea901c0,186,22,0,208
ca1e4bb7f64d9582cd49b3547f927b1feaa94f1d,422,7,0,429
7cbe05fdadb92a8eb53f631dbbc8aaf17f8bd420,11,1,0,12
f48033b580ef88effa38625365631e268b0ebd56,880,14,0,894
425c61c15e509cdfee26ad5b8e96df26b92addf4,34,1,0,35
f2982a7654df87aa92381a5b3c6baff2f00fb01c,3290,52,0,3342
b366547c3be08b68fd958c674f17447a287df799,22,3,0,25
f8da1fe7469026b9303394469dbb86d7de172f20,27,3,0,30
