hash,lines,files,num_test_files,commit_size
c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,9221,134,36,9355
88d58477d2bbe6adea5a315c6b1bd833949ee57c,1001,19,5,1020
c6a0b5f55b07dee08d1a41ca4a463f6753bd705f,856,18,5,874
93396a759a118f484e2ef1693cf011cb9e32aadb,579,16,3,595
83c50eb811bc1de46d78f751f1acfa3d1306a869,202,14,1,216
599d201d6665a685ec8765e2e9da026f063470c7,84,2,1,86
92350ed7b5ba3dd7b5c2e4226df9a245242f27d6,964,10,4,974
f1c242025e67b02917ab7a781875cf557622bf7c,271,4,1,275
9bcc9a37a3cddf39e02acb92c4265a8f63bf93b5,2383,33,11,2416
d1d36daa13d0c24895a498cc6e3aa0821ae5944a,643,17,6,660
6ac6d31ace5d068e2f2c7dadded75ef507e9107d,184,2,0,186
ed1a2b03a19cddbd2c0046f5d45e627f611032de,12130,13,3,12143
3b16e9854d20f1660e68ec4da6cd907f2be624aa,22,3,1,25
2e6464cb8cc4b122083d8d6efdc5cac5ee25abcb,2484,28,5,2512
1fb9def1bae0e46506954e33d489dd0c1f5999ca,1516,165,44,1681
fba873cb07bc0add7c029a63febfe026eaf4964a,15,8,7,23
0b2d7c958d517fcee295b7c0db5c16a8d5c1821d,878,48,21,926
c5bc4c7f676286055e47b81041bdcecf30073607,845,66,24,911
57a60b3d0ae6280a38865757485d070b3591698d,88,4,3,92
43b754dd18c04d68ce5e7fd34997a5c49b7e7159,737,19,4,756
0fc4d209c15b0c5d7460d236e7eb59351f3ffe29,1,1,0,2
ca5f237f0dac69f32e80c786b2833bca6a4c8348,321,9,4,330
1d836057ce81f55e4693c83b5f5d83bb2ae6a57d,1,1,0,2
5dd00a0063bab4fc886895ebd73eefbbf0f63439,1475,59,23,1534
b0ba5063ea620026bc18484b4819c8fca403f88c,4,1,1,5
bd79d33a204733c27290f7e62e5f545c0bd285a8,27,1,1,28
ff2f01d6110e55cb3cffe77839535afdf1ed99c1,181,5,2,186
0c2a1b9296ab4b7f2248bbfdf71d6b6f724c4eda,587,25,6,612
e92d333e6f5d16d9cce358c4d91e0ea8ace2a872,339,10,2,349
e0e9916fccf77434a44b41ebe7d60a99c8f58cb3,176,8,1,184
be9afe5e90fb052300e510734c160c0702f54128,300,16,0,316
c8f2d5d8d3ad943df6152ed26e3e76dfe9600d6b,566,15,4,581
07be2d1261c3290160cbc32fbda22e9146648d54,1103,34,2,1137
a364e4523a35c819f7f3ea3900654c2ac56ab1ba,540,9,3,549
44e4b761bc9a885bbc03f0ba60166bf3f8ee1838,846,26,2,872
9f054e6ff5d2e25aa730e597ffeb40f8dc1a779e,1,1,0,2
3bd467d739450b956f7f0f47257647596e51b2c3,323,10,0,333
75e4a0b0480fbc9c293429975ef385f0f375fe5c,295,12,2,307
