hash,lines,files,num_test_files,commit_size
576c709724551a5122ae9b9e314b6c400f5f778d,4,1,0,5
a8c10efccf35977193cab80b0f17d6a2f7d066d9,2946,45,4,2991
f3cdad30930c2cd73404804cf4ceeca237509a2c,6,1,0,7
24028799609ef606359d6bee39acd34d8d67a067,4,1,0,5
dbbf9443ffe219862c9744806f34deb2606d21c7,2,1,0,3
7ed952872d68eacc02d5a13e6b6ded4cf8babc55,2,1,0,3
5fb63e9a0743a23735f5b6043abd202a85173202,450,16,2,466
741c6fd77e6ccbebf47eacf021e68379d5063d53,138,1,1,139
a1a04d51312b169e5f2576c146351c67366a6212,222,2,1,224
9b68b394fa8f8b339db1b85b5eb1ab744c89ca5c,553,5,2,558
34124edc109127e0819d859fce91df960256571d,31,5,2,36
968fd551c58a091b5b13387038c57b15035a198e,722,15,2,737
c4109e21cac4743062f15d800dbec8366201e98b,39,2,0,41
f689f90b485b23c0cc5076088093ec6977358d09,7,2,1,9
82e0324ec300f370d5416e8d60999c910998dc58,666,22,3,688
5e9556105c37c4fa4073a7680d8132fa5c9f261d,391,5,0,396
f2ea25f2097ea0359e9e4ba0815b6f9a63b3359f,10,2,1,12
d1ceb2609f60f98a38c4710922281325630a8888,2,1,0,3
da7ec4896ec365c7778223f11d91544afad8f764,830,45,4,875
0b7396243e0e695dac144d0ddf7a651f58e35e5f,3,1,0,4
7b988569482df80fc88053e0725ed2668f20644e,1,1,0,2
e6ecdc6c4c2f477cefdfc8fc3c1f4b6a2df1fc0a,10,1,0,11
cf5ba988c56a2b5166dfeaf13743b9a99fb4a552,5,2,1,7
ab7df25a4794a18377d034e7776505bdc7a4eb05,9,2,0,11
2302fe4656a799d20e7a86aee10459eabdc82a6f,2589,35,5,2624
575c221dbdc572bac7c6c7219cd172f12f62964e,118,9,0,127
bdd363578611c60a10d970323a0e0e60281fdaa9,324,13,2,337
40d512bf0ff7aaba12f6eb13acf37d760535572a,201,7,1,208
591da70b6153261c1aff895dce6f629e997a2966,1023,32,5,1055
00257682aed55ab3ba05ee798cf38b56d51ecf62,9,2,1,11
246efae86ecfd6a816c619c501b183a0e6dd9190,1655,23,3,1678
527beef0aa1a42872eae1c9378b7bc4822468ed0,600,40,7,640
11b8190df05c1ef61a6dc677db378bca62338062,5164,71,0,5235
1e7152b65092572a7bbe7e58dd18e163fce51cc2,2690,32,6,2722
9da016d3ad52385ba0f99f0ee5290bdae785d584,3224,68,0,3292
71b7b11456f677e17a6fb7ca5bce862257c12048,90,2,0,92
