hash,lines,files,num_test_files,commit_size
7c309bcab781615c83ab7a02a61f5f181feaf51c,209,3,0,212
936bf02296cebab85b80cb1b4da64999a4c4cc53,3255,26,4,3281
729e5d71b0f670e7268db0f3435e6c0d1b87418e,222,2,2,224
cb85d55e6864976ee3f78db46654c8e18e14ba9b,419,14,1,433
0a7bca717b87d3a9c28cf9a45c19573999afca77,590,16,1,606
056776dd0ad5f30db268575978cd5a6ebd78bf4a,61,3,0,64
21725e6b91d4ff2c6b623607b0a5b4620d45cb4c,23,1,0,24
f1572fe4280739e3e752c0d3a7a3388a6b155212,517,9,0,526
e1b21699367e45c319d9438684108b8c587ca87c,13,2,0,15
865f7c6710f895a50ce2bbbe5c6d881b62eb63e1,9,2,0,11
d3a931db27baaf50198e6f5a717de163c99110ce,42,2,0,44
6f1ffd83a586ffb8e06ec65de37cd3ceeef6c3ed,50,2,0,52
385a85c82ed4759f92cbec871fe0decb3306e45d,70,3,0,73
5cdd40945d38e3d5b51667d31b014f5d10f56bd7,98,1,0,99
8e60491d59709d8f0d1d2a01597888b38c66391a,70,3,0,73
416bd9be521c2ecc142e9124eb77ca6472cc2277,347,15,4,362
98c5ea2aa27b645032a3c49bbe3295dfe2508842,1,1,0,2
48733f582be8ada68c6feb80992825730d8c1b99,21,4,0,25
64e08090b91cbd4c5b393b28632547a84623434f,3,1,0,4
7a6ca6aaec1cbf57cdc982f11dc8c22339e6b891,92,1,0,93
089659a6dfcf6276776e204a1478f957ff58d96b,2,1,0,3
2188f292a931059b613c4f3c403ca10da44c73d3,48,1,0,49
d2611947e6e18ea6bf0ee60f361253550b45ff2f,26,3,0,29
059e50c96898a40fedf70eef30eb34f4d58c5324,138,1,0,139
d6be10fd9e23f2fc4cb3a33f56c6fa415da6299b,15,1,0,16
f9730ffbc998e0af85f682f82382d50b5722fa97,27,1,0,28
b1c81dcd40513eb587c17fab2df900e9468fa8e9,2,1,0,3
774486012d4c8669a3bb2a3f8d7e73e4ed704d5a,2,1,0,3
4c69da96cb7e60ad9284d61e54614fdafa8cd095,6,1,0,7
85f7001223a299c994d8266faa7a1bc36921e759,1,1,0,2
2346b0fe8749dd9b678278323692cb67821324d5,6,1,0,7
5a6b3aebea9dc0b9f9b4aa90c45b012c58cf8d95,251,7,2,258
4b9e51137401e0b60753e00e4171896ee5c7f2a4,127,4,0,131
ecf46ba68208304e79899f170ae4e7918e225014,28,1,0,29
c9584a333fd2a06b08f6655b1da2c17b216dc4da,502,5,1,507
b27098ad28af6d9c66d747552149d690e3164b15,57,2,1,59
9907cb72b9d021ae72ae8ead3609ce0ed059cbbc,140,2,1,142
5df69c3b26423f44b0e253735a04191543cd20b3,27,1,0,28
faefffdd2857a2f494a121d1b78f2083ed33f098,80,2,1,82
