hash,commit_size,num_test_files
9edcf177ce7210d7ee7f857dedf0747e5bdb4105,646,0
c80b08866d7730d78fb7c0edfc8dc2d758942921,15,0
9d91adbdbde22e91779b91eb40805f598da5b004,42770,6
5fab34e13aabf2bd121e0d0e2db1f80d130887e6,2,0
2c77528ca02c1d6a19a07e9fcddef338a8b69d82,3,0
e1a6615407915402f43554429b88ab75670bc99b,4,0
1469557ec1f4652bcd54f64bad716e1c6e2379b1,3,0
d5fdf94ba14d13768a14727f6e4afb9cd87c5063,96,0
c2a5bf1ee4524cfb2e6201a6eca481d6cc8f1242,3,0
2a022ae92cd6bc0d877a244bc2d98f1d8b7cdc05,74,0
c47e10543daf7938cdb3a1352ef47b349c2a1930,3,0
433caaafb04835095cfbaed5e565dfa65d32bb3c,35,0
2ae64459388e605efb7bd00b236936a23d9948b0,3,0
f775c09e4397e6d25df05ba7fe967945d7ddf8e2,91,0
3e84ddf38891816409d6748376b7d4d57afc8daa,33,0
2ce3acf2d5d4f48c1beff4b7d32162f84f61aed7,177,0
25e8d8a5deb70a6b7dab80b35065c3da12fc1d28,126,0
969df632859e9e6f8e4405e2cd48d959cadd672e,110,0
a8d85e4d6e6b736cd94235d4eaf37686b7887cb8,273,0
1130376bcd38668b80d3aa4e35c617d063fd7095,18,0
095ce14e7b289864c64e6a21df2767282ebef416,3,0
7027ea9cf508c32be56e064182d8d1035d27bfe3,3,0
23617033dc978b4256edf9dcb0bed84b7bfe6735,3,0
35772e8f136cd9b9b05a651c1a8c14cd90b27793,42,0
4e7a187c7f5cdc3fd1a4cb5c8537ae4135660d77,3,0
2fd62d9e00461a4f470717ac80bf06b53770dac3,3,0
3cee68bdf4b7fc30cf77f3b286edcf3c3451ac3e,7,0
f02533bd6b1257891220e6ddcb5210cb7d823a0d,5,0
2ec6631af32c4b838338b88cad16d0ec3b532c4e,3,0
e1bbcd81c2944f298a6c05a33688ed789d1cfaac,3,0
b3b4b715f88dfb1167024dee23fccb33d1accaa1,5,0
2937dc083e9513b43fcb489522c0995d8ef4f391,237,0
aa3f8292cc012f0acb48ba439bdfa33c97b64fca,30,0
0c8d942b5d7bcf4a5fa97a2cdda020f9c0799ca1,35,0
daf093da0f7c4f7e7253cf90f7949e7285946ad4,259,0
1fea7a49a6d3ab72dac09e398ac988e0831c6832,114,0
ed8729ea578e4e2e2d7fe0026d458b3d5b1e3738,35,0
7fa873d10e147e2363c064f0c3ca64893022e51a,65,0
59998cfc18dcc2098f91339674dfe3f47c9f24e4,29,0
2c0b7510ab8ad1e2eca305ad3607814745b142e6,23,0
0e57b733915941034ba5130c40b077635eecaf2f,5,0
8336885d725e5dac598e86f174baa61aa731d1ed,4,0
8d236fcf9703cceb6c7f0678a382c5d36648b85a,3,0
028d76c59fed1d830d5c0b3d304c9ff921994539,3,0
3c4f437f59c3a52b2e48a4e38b2072f05fb58262,3,0
feaafd4b4ea61a88f8627bc962adcfd7433578d9,12,0
6a3f94e142fae9245093fc27cd5e704e3dc68f61,5,0
14680ff56a8894ef2dd7380c2ed0aee364aadc98,8,0
476e9101d52a1f38531cb71a7565c7db1472b234,3,0
4aa082dbefd01d72aa745a9b6593bad2bc6352d6,23,0
ef3020a425fcb3e4fb85dcf107b9d4c0ba7a14b2,373,0
9d267e8da0b9ab81aecc39903517beeaaaf2ea53,5,0
a95b418fc34fe6d7e4ca54f81123eb66e2aa1fda,3,0
57ddaae5fd72ff2cef6d179568640b1fac8f4f08,5,0
26125afa8590d883d321ce4911013f4fa5a7d6f3,16,0
084bbbbe7f2aea90f2dec536d54aa60ee448cd60,7,0
5aa6e3d9bfbebfb80676b9cd4db819aac17f8201,18,0
d353e6be58ac830e7cd20a10c05d84d2651cce2a,9,0
6fd04ab71949e39d6914cd49c94205e655fbf190,55,0
ccbf578c730da0b1e745387a65c3df8b0a2f8f2a,12,0
0699624e1dc9b736220f135112448e4474c00446,7,0
fa9e007c8259f4abe946768395ef534e73a37fac,7,0
31f06a9aa07c8f086d2c3aa70fa8f2a5d56cc333,6,0
2e410513e75ec9b584c50a92bec5f24b057b3836,2,0
3226a1ce4641c256134de995d673596e8aa4c603,27,0
26409830d4c0a59b7236269b041bbed6a81f7960,6,0
98072862b9c04eb27a2c445254d62f4beb5ed380,8,0
18dd7423be41313c7476b8981a650dab9b3429a6,6,0
f597bb120ff8fafc5d5df48e92fb01cb0eea0aa3,185,0
fe268549697a59e6a616bb1434f4abf2bcb826ac,2,0
fbe24e6cc19ccf9bfd3e7345305017826ad3122e,7,0
c89270bb7d92c04bb38b987f14933281bb39f706,8986,0
4eb942239e4a2495de6b55e84a28321fc3652908,27,0
8615889b4f5d3e701f731dc860847ae21dffca9b,3645,0
44825be9bde250a1b84679ea7bab4727a9ed9e9d,1581,0
b419a6b2a3163da87f339b379c084eb26162d83f,255,0
02cfd6b1e6798c51c5ddd4bf8c925374a61a7dd7,3,0
c50f960974a3d78b137f79c634d544872a8b4ea5,10,0
bc9a360701e47d2d123b139eaa4c4b50329c0148,29,0
eb3601f70af7f4e27ba9c97bbd1693777c2468c4,40,0
51e784c93228a1b01728c994a5c74f717adb0848,156,2
a17ae044738eb82ec8a93331156fe539dc6ad929,47,0
a1ac4b45a25de4cb3832940df36b268ce5f2ccb1,5,0
fd70341f62851e1ce5e56e30887c02d835cf2424,66,0
0cd570749ce314c3af21c4d90746a9615c82f54c,18,0
7ffb9cc0642bb673ac6acdf5214ea02e429705d3,95,0
92174d8fef1b37e636c45fd0fc3f3b3b137a1637,3110,0
acc414cfcbb2dcb53af07bf622813e862083e1aa,38,0
576577b3daf5c3b5954fb6d5a2f2cb3323b8c489,24,0
c3fbb15f25022a29bb4e3e2297c358c398cb1b9e,11,0
85663513f5cea9d25b8dcd5672053ad1aa359f40,12,0
a2a004abe1af96c056788fef80ec996f7bed457c,57,0
f39c0bd185fe70af580f5cab45c7267bf5636ffc,28,0
4ba4e024a6f51b6b2d642de3b71cf29c78bb38f5,15,0
6b38a1221f926bfab09fe78992f5784081dd1891,15,0
14ae3239d22ec1c1fed122e9f903d46d90129c38,6,0
b4e87a60cb4e6f795faff3eda8da5140f4e8cdad,653,0
3b21a8be2c51e5cf4e9616fbedafa278350c5840,46,0
a84259de45b123c83ff0e8e0c4b047d3af6e96e5,3,0
50e078cf42b2a437c2fa9e4432f8653e0e75ef5f,3,0
c2919ad2e485f85f85b57eeebb20b50593a5175f,317,0
b4d90cbc054b4701648555d141ea5f9692f5261a,7,0
085dd8fa3f1a0a1df790d7f79a7da1e427e6b927,5,0
6b57766422be5eae1395e589780748351dd37991,48,0
6907554e982baada2dcd5320e7c789327bb80ffb,34,0
db63ff1f83e294483ab882d474a76455003a091a,5,0
0d362498b148a455e3a342f75d7fe4df5d5cbea3,2,0
7dcbe76b626c56f04fc3c9533461b094ce2b318d,3,0
604cf3cb44f3296c14ecd23ab04dee2827f095f5,4,0
1891618e21b01da8de5d43e6b95beab86a3444ac,117,0
91550313b5288e9c059165e6ce8bad180fb764cb,32,0
4edef6a0dcbe136820974aabda649132175a7dd5,6,0
95a9a96d89e97cc6e5fec12a80d9ea464d3e086d,12,0
54237454d972a7ac6f2e6244357c4f079fb69978,32,0
96a62fd098fd5dbcaf4196e1241015cfae6ed6c5,18,0
65bfaf3d045b3289fd3e08de6b85426f3c369c99,151,0
82b347c3168d2cc0123a43f9690a425f605f966d,2,0
2a3ef25e72514b47e6f7f5321846352f2d2e08a7,148,0
e7adbdb587e04ce71542473062dbcad9d888e8ed,25,0
1f5cb7fe76ac3a56e9b0f6f6f5b2df0025003303,4,0
de9955f5f31ff6a9cd17444075a26f5565b65368,5,0
3b815c3aa5d8b3500c9c0ff84ee41e9f6b748c56,3,0
b29176a08398abeb2dbda762c173f708a1abbb5e,2,0
b8bb84c5e4c01f73ca7a013f26d7e6ab5ce8f86b,24,0
bd2b88e4c0926a7afebc8c2e14ef52b09816f742,39,0
40c2fad427fe7985836f072277f01f18e5efe70e,793,0
14bbb5a61ae624b9f9bf3c13affb544c7c5b9731,72,0
c723b0db060a4244a0156c2d913410ee21b36ff1,799,0
daff11de9d31cdcd2134b650b3c0cfcaef0e74f5,57,0
35acf9b34edd55a4b26b5f3c836402af8b8836f2,3,0
faa41dc7daa5a8cade726baa74f0c0d3eebab334,134,0
5c8b9d8d407f9ebc57331dfe5ab40455c2fbfeec,55,0
e9d0fc0411b1becfea6be2946732c3316b4e2852,2,0
a3a9981103bff9af25394b6d7c06c911f1db13fc,13,0
9567ec499f8fb691ae86498df01e182f1dc39b06,2440,0
81aba48216d226057e975849cb13ddc9dbdc2b99,96,0
f5e44326a81a3ce3da633020e228301902f533ce,80,0
9516401e8c2c85c51b97d41b1d8fb27b521e6125,33,0
2a31acbc458c04493c20b35f5963e3a7d82eb706,9,0
5b9820a34e3de328249e47f9a316bb0f0610b878,3,0
52f051daabf616ec22ff808f47fd43bde3e2fcdb,15,0
3539864fa4fc622e10fdba4e28d99e1cc7d73949,1095,1
c91da283d12ac3958ea06c491cb22f341ac70956,173,1
8a010865622b04878eced531e03deb92f9e052f0,49,0
461fa22f1b5062f77e89d4cb71e8a08240b5c0b0,42,0
bc104ce6519b57cb903de14fe07f3346bb2d85cd,10,0
fb38262817ac407da160ce992f1284ac6a5fcf9e,712,0
7ef70ea21567e16dbf454dfd6a9faf30e9eb1dee,539,0
e1b6c245b28b8b987ec1b92f75b5b448cf3cdb65,12,0
8c63426af2f277ffece05e3fd45cf90131d39a80,15,0
b7ca3f42ace347ccdd56d63c9d2c4243615b964b,2,0
e9e3ec259d463484fa9aec237ce253b2ac0afa06,317,0
cef7c2b7a00110621cc833f0eccfd6692ec828b4,23,0
8919cdfe6238239a31a81df77f0eb76d14df329a,41,0
fefef8f022910fa480931bf2930b154601de8eee,33,0
f59256607e8b237cbdd4dc8706aff18ee2811a80,51,0
c73dc014cf958abd13f48df5fc3425b4d13a99c7,103,0
f205124364a345ef673eaa1331573c853b837cd6,71,0
734082d169e1757b47835e1c00fa4e0a9a32c20c,25,0
3760971bf7b040caf387c3434d15a39c396544a1,9,0
862e1c7a37198d554c238fe4ba8ae916d0c6d6ee,478,0
d6ff4555ed22706486cd8c66a54a32a957dab327,2188,0
1c027657e256ecefb1430850cd6f9b8ba8cd91dc,17,0
9fbc42b7cb9244ef9ca2ef95421853fa605c98ad,3,0
436a8acf450710e4710601eb335f95a9d8f26737,13,0
b368e63e3c04e861c2cd6e26b3fc6c001e287cc8,17,0
e31f0452e1e3b091a69c6c3a88cd7bf04ef4c189,105,0
b0805c8504f4a1ff31ab5c7a919d1c8ff26cec81,2,0
1056ecd29aa6f0af42d820f56236eb9d4f3831d3,2,0
a352eddf1b6d7d14fcb8da6ed3d6339a8a2d87cc,3,0
fe46b556d1556f0605edecff1278f857fc800ed1,3,0
e8d1b21606ebca983c4d5c3be25959504b34412e,34,0
6cd9c96b21e380f3fc976b7435746b7c66edd3cd,3,0
98915c3fe9fd71f8009831d65c3e539503b8a978,15,0
b6eac26ff1016fc22721c30f2188d598342ef6b4,1834,0
4186391cf91cb4ecc492eea50c8e3cc1cc37c828,45,0
aef936013a4f4487be710f10880db9dda5dd80e3,3,0
b8dae14aab61b1207dbe91d029ce6db68d77489d,397,0
8d7ebbf63dd43d622f2cfc48fab8605e63181dcf,13,0
b08d3d067996ba3eafb3cb039213765e3e5b13f6,10,0
6ee6d088593b203d679459568ffb96d82c1976a2,5,0
deffe3f7d51cd3e061fb97b2f0f0c67229b4f0cb,7,0
f28af3054536d2a1d421137dacd6172561940157,4,0
b5c1960662993d7f18b2be076291af0426b5e710,7,0
ff6eac6af086741d2e38e41e82a6e6bcc836bde7,9,0
041d9c697a4ce403e72b67806dd759c6404895fa,2,0
20284190a0e5459e105e3d4a93ef111a607f25fd,3,0
92248231f5e8f31f27c77e6baa1e968686e627e3,10,0
57d11797395ac2e00731f425af2fa6f19b3f6950,16,0
b39a7105d02beba61bf4ae7e859e886a08c05043,7,0
573dd6af4d261b1e673175f96553fbb8143c726f,11,0
cd9d0a18eb0859c2308f2a7592e684023d0d6314,14,0
bf75498b4cbfbea337a57564e4f20e39a9d4fe15,2,0
1f39064656c93660b97db349a1ba8744eecdaeeb,15,0
720901fa1ed63e1985aec7fef6e5239b46d7964d,48,0
5c3bf86014f05cc29825b3261e2fb9c6e774cfc6,2,0
bcd4d227fee40d73cf4e9b6986270552436e0f44,7,0
7371926834a75cb1dacde371cd8f3aa0702dcd0a,453,0
44b6edec43275800a0c6eaba278d145c8f70d564,190,0
246845b816954f8744872ebd59e701e5f9f48ed1,5,0
52bea4fd4757001b5fb95e3955c1101f8fc61871,5,0
3cf6a95a3242d8d6bd74a6f78015311fa15e3d64,7,0
a8a5536c85f332b548483a45745ada6aba37d0c3,24,0
03cb9f377062cb38b15ef40270a830e2db103d92,21,0
393357b7852db2dc4f674041e98344f7277f137d,2,0
ab5935cf7d0cb9d9b1dea68ecd68bb24b9ce5bbd,22,0
934240a0c10845297c1fdbe297626829f37310d9,100,0
6bbc2780447de724b7030c86c0fab5cb9e0f0237,12,0
cf7a37b667ed9b3e379a0c917dd02ff42fea31e3,2,0
277d4e636776c183988953af874016b103168cc3,1384,0
861d9ab112c95bf1ed614e4ef6b88c7c00ffd6ca,26,0
940e136dbff621d40f6155578e07b963fcc0266f,24,0
cf7c9d1bd32ba8797eab1fef13c206c0d115c2d4,33,0
2d0df523c245dac8e60dfd4e91ec8ff467685dac,15,0
943cfa93a14cdc43f6f8bfecf6523e3c415a2b0f,26,0
a384b05fb5c0e64663d51e00e7ab9eba933ad16a,44,0
ccf53404656e0bcea6e9cb38d8a3ab7624a405ff,4,0
302cc08410c063783d3b95369debbfcec040aa39,3,0
b7048938d88d774d2bae575e59d8f4312d44d366,13,0
8aed7da5af3a2794f3be7e79524615548a02c767,29,0
c2b9a60e95e9d5b8005bfaec01c3e78d7b5bef52,9,0
95d077118806e6e56f761a569cb2c6a5b97f1195,3,0
340dedca54f91c6766db74ed3908cdd42fe3f187,25,0
9178687355514ee90962addcadf55610590a857d,704,0
b930ee470a432897c348198f2df2b1eb386a8523,2896,0
54e94a1f33e9291a55f209016432c5e9198e5917,41,0
f4ebac23792e1561c2e5acebb4a86345a6ae0f3f,34,0
72c476c1d4e114f85b29cc794936c3f003369a71,26,0
4299517dfeada14ae566ac25125e3b2fb579c378,11,0
aa656d3e66130a91dbb5cb9eced1a86925f6a8f5,96,0
c663832deeff338b6481ea54f9ae62e29fdfa4b6,39,0
63f11b1a34414a8bd3e70fda31e3573238265a9b,3,0
782d57f40cab0fdbd96d34e2ff417a81e58348e9,498,0
29504af74ce161ea406a666aa5687e6cb5174816,12,0
