hash,lines,files,num_test_files,commit_size
ec716cf6e8725dc456db42d11a1972aa78d9de91,10,2,0,12
d512bdeb12010d94f47b464d2e424d3ae03fa7d0,24,1,0,25
d55722b80cec76fc6df316ebbfac7751b2747c7d,11,1,0,12
e02e99d88265d12abf1d7109d5d799bdcba7f64f,14,1,0,15
c20fd6454e5733628ead3f129c7e803c1ead5b94,1377,22,3,1399
99109eebb2e31be24764d41b22bb71ae4e08c19d,30,1,0,31
6ec449856d9d4191a6aa510dae57d035ae72ab5d,5,1,0,6
e9d9d024801ecaae642da650dfbb802486e87f67,254,21,3,275
a8208011ea59384745ce3e55e97b880ff0ecb89d,171,1,0,172
38ba994ef9716eb0f7caabe6be68e20275a63646,65,2,0,67
8ac50786a59707d001a43ea63a68da16deb84be4,24,1,0,25
d0845d8363b4612a9283958b3781f8b00b6b25ed,64,1,0,65
a7a63973641bfce2c517828f579a4021a8fd660d,317,6,0,323
ad00bcaf60fe5b9e1c5ef582bc48443a243c2f07,228,3,0,231
5547d6aa180baa6474eec7eb337beb59b5592055,3,1,0,4
9f99267665c91d75e0d9c18e4afe1b7386fd8dd4,5,1,0,6
1e078b23dc0cf8c830033599e7c04d75727abe7d,70,1,0,71
63c66cd05636b510194b36fe909d916fbdde17bf,105,1,0,106
c26e512a55da1a0decdaae3ce270cea5df94650a,109,6,0,115
0d78ff0bd687b37711405963bd36e3ae02e4f520,206,29,3,235
0537aead6d93b0c5afd880c62671a18536e866ad,15,2,0,17
8736fb21e67360266ec2a43d5db772ca2596b40a,80,2,1,82
2f93c5974bc255bbc8a0fedbc0f398c69e50273a,385,8,1,393
e24285ec74826f068ca3e23785e226d0f99bac2f,93,2,0,95
5c3d83b86a17d9b9fd86959028427ca3c2b50020,1477,33,3,1510
c4c126b3bb60ab740109f65d64358cdd96878922,374,12,1,386
3a49b62b9452f86a594c91a35d5fb3ec2a032adf,44,2,0,46
2875857e671dfe0920df87a78577e76bcf1fae84,24,2,0,26
28a861a20a0278069f5cb32dc8e7bf4572c560f6,4,1,0,5
e552ac2092bb84e68fb771bd450c28905fb683c0,228,9,1,237
5e5b8c419e7cc0829e81c2168c116e27705f785b,66,1,1,67
4e4436b6c047e169ec05d174d2a5ac8059ae8eb0,2,1,0,3
e00a264ce88b000295b4b8e6a429c9f112790b13,111,5,1,116
f5c75487652a894f0a0ff9d7cc4893d7c4985213,390,10,1,400
cd52a5c611048ef0d635b690a1d068a02d5de39b,94,2,1,96
ffa6c37fe8bcfcbc55cf241ed5a75384d8229663,582,14,2,596
f5516068edaef12dac536e375b25b687633e2474,283,6,1,289
a781de31afc34db6a09e6c8b60ea28ff171eb93a,446,13,0,459
c67f3dfc9fc71baf432ee7f488b99eaed0d384eb,80,7,0,87
09a97a410ac5e94485fe32272e276b1c95de9d19,429,16,4,445
c3fff5e89e00c588f906135b88fbd30e63e89447,36,3,0,39
