type,test_file,hash_test_creation,test_creation_time,test_commit_files,test_commit_lines,impl_file,hash_impl_creation,impl_creation_time,impl_commit_files,impl_commit_lines
before,DummyGraphTest.java,b6219ee01ff906e8285b23f3412d5cbc95017a81,2015-01-26 01:41:37+00:00,2,70,DummyGraph.java,ce0e9abba7f75c69c43c885e980ed382dfd0bea5,2016-11-03 12:59:29+00:00,17,964
before,TypesTest.java,cbd620a27a47c354b08683f687a9a72f88231176,2015-01-27 12:40:31+11:00,1,69,Types.java,aaafea683ca750e498d9abc4552c43f3e7d43a10,2015-01-26 17:17:03+11:00,2,206
before,BlankNodeImplTest.java,d13f4814abd82584a1c70521e7190522b80520f0,2015-01-27 15:02:46+11:00,2,260,BlankNodeImpl.java,b6219ee01ff906e8285b23f3412d5cbc95017a81,2015-01-26 01:41:37+00:00,2,70
before,TestRDFTermFactoryJena.java,aab479a285f426055158ea23201e84e45ded010d,2015-08-26 15:44:24+01:00,17,864,RDFTermFactoryJena.java,aab479a285f426055158ea23201e84e45ded010d,2015-08-26 15:44:24+01:00,17,864
before,RDFSyntaxTest.java,1a63f48379b39755d279cbe10a2b4e187b11ddb8,2016-03-27 18:13:45+01:00,3,231,RDFSyntax.java,1a63f48379b39755d279cbe10a2b4e187b11ddb8,2016-03-27 18:13:45+01:00,3,231
before,TestRDFParserBuilder.java,fd5ff89905802f16c63d4ce04c45d8e68c51d2f9,2016-03-28 05:54:32+01:00,1,39,RDFParserBuilder.java,01ed0da3726b6158650388e9bd251038ea7a5f3c,2016-03-27 21:25:04+01:00,1,198
before,AbstractRDFParserBuilderTest.java,8dfc3f4eef9afda61cecf088be42c8a9ee547865,2016-04-03 00:22:48+01:00,2,127,AbstractRDFParserBuilder.java,77a4b75d79185f5815fd5fe036fcd31e38c65890,2016-03-28 04:44:11+01:00,1,254
before,JsonLDGraphTest.java,da9090af598eafdbacd73e0c2a6f98baa7012caf,2016-04-04 11:47:49+01:00,1,37,JsonLDGraph.java,84cf08e245d0ec7fd074ba402779a9c1a5b77afd,2016-04-04 01:07:44+01:00,6,223
before,JsonLdBlankNodeTest.java,b5aa0a038431bd1de570d80cd2bc52ab98ef420a,2016-04-04 17:03:45+01:00,1,24,JsonLdBlankNode.java,b034cdec96dec51d57711249d7f508fc2ae210bc,2016-04-04 15:38:40+01:00,6,296
before,JsonLdParserBuilderTest.java,0d6a0f8285d1cb8c4aafdcfb7519bcad246685b8,2016-04-12 17:20:23+01:00,3,71,JsonLdParserBuilder.java,d51975f090ad067e59b73579ca1b57bfc09cabfa,2016-04-08 12:00:00+01:00,1,112
before,BlankNodeTest.java,1fb7e72f500abe8363e3b5c6dfda4965aca84a7a,2016-05-03 22:26:57+01:00,5,177,BlankNode.java,dfd088ec728abca8793d7309df578049f7e980bc,2014-06-06 17:52:46+02:00,10,159
before,Rdf4JRDFTermFactoryTest.java,1fb7e72f500abe8363e3b5c6dfda4965aca84a7a,2016-05-03 22:26:57+01:00,5,177,Rdf4JRDFTermFactory.java,dadfaeca2a3c9a4722f5b481eb2792196392e6ac,2016-05-03 16:51:07+01:00,2,392
before,DummyDatasetTest.java,ce0e9abba7f75c69c43c885e980ed382dfd0bea5,2016-11-03 12:59:29+00:00,17,964,DummyDataset.java,ce0e9abba7f75c69c43c885e980ed382dfd0bea5,2016-11-03 12:59:29+00:00,17,964
before,DummyIRITest.java,ce0e9abba7f75c69c43c885e980ed382dfd0bea5,2016-11-03 12:59:29+00:00,17,964,DummyIRI.java,ce0e9abba7f75c69c43c885e980ed382dfd0bea5,2016-11-03 12:59:29+00:00,17,964
before,DummyQuadTest.java,ce0e9abba7f75c69c43c885e980ed382dfd0bea5,2016-11-03 12:59:29+00:00,17,964,DummyQuad.java,ce0e9abba7f75c69c43c885e980ed382dfd0bea5,2016-11-03 12:59:29+00:00,17,964
before,DummyTripleTest.java,ce0e9abba7f75c69c43c885e980ed382dfd0bea5,2016-11-03 12:59:29+00:00,17,964,DummyTriple.java,ce0e9abba7f75c69c43c885e980ed382dfd0bea5,2016-11-03 12:59:29+00:00,17,964
before,DatasetTest.java,1f1f45ee7b99ea13126e563524e75e68c95ebdbd,2016-11-04 00:55:46+00:00,1,30,Dataset.java,63745d33b66d0ff28ab54e0c8edf65d76dbab931,2016-04-08 14:50:57+01:00,1,322
before,JsonLdDatasetTest.java,ecdcd23169d983ec19d592a7925268984993197d,2016-11-04 09:22:29+01:00,2,32,JsonLdDataset.java,1330627e7d0c133b06dcc04c8581b11ba8ea7f2c,2016-09-09 14:28:47+01:00,4,576
before,IntroToRDFTest.java,567b775be8eac714d557a2c3cc171895f7c08c6c,2016-11-21 11:15:46+00:00,5,553,IntroToRDF.java,567b775be8eac714d557a2c3cc171895f7c08c6c,2016-11-21 11:15:46+00:00,5,553
