type,test_file,hash_test_creation,test_creation_time,test_commit_files,test_commit_lines,impl_file,hash_impl_creation,impl_creation_time,impl_commit_files,impl_commit_lines
same,ISAACRandomTest.java,c0495bf24168a6d5d06ede4d199c28bdd351ae86,2016-08-07 23:44:22+02:00,154,116552,ISAACRandom.java,c0495bf24168a6d5d06ede4d199c28bdd351ae86,2016-08-07 23:44:22+02:00,154,116552
same,JDKRandomTest.java,c0495bf24168a6d5d06ede4d199c28bdd351ae86,2016-08-07 23:44:22+02:00,154,116552,JDKRandom.java,c0495bf24168a6d5d06ede4d199c28bdd351ae86,2016-08-07 23:44:22+02:00,154,116552
same,MersenneTwisterTest.java,c0495bf24168a6d5d06ede4d199c28bdd351ae86,2016-08-07 23:44:22+02:00,154,116552,MersenneTwister.java,c0495bf24168a6d5d06ede4d199c28bdd351ae86,2016-08-07 23:44:22+02:00,154,116552
same,Well1024aTest.java,c0495bf24168a6d5d06ede4d199c28bdd351ae86,2016-08-07 23:44:22+02:00,154,116552,Well1024a.java,c0495bf24168a6d5d06ede4d199c28bdd351ae86,2016-08-07 23:44:22+02:00,154,116552
same,Well19937aTest.java,c0495bf24168a6d5d06ede4d199c28bdd351ae86,2016-08-07 23:44:22+02:00,154,116552,Well19937a.java,c0495bf24168a6d5d06ede4d199c28bdd351ae86,2016-08-07 23:44:22+02:00,154,116552
same,Well19937cTest.java,c0495bf24168a6d5d06ede4d199c28bdd351ae86,2016-08-07 23:44:22+02:00,154,116552,Well19937c.java,c0495bf24168a6d5d06ede4d199c28bdd351ae86,2016-08-07 23:44:22+02:00,154,116552
same,Well44497aTest.java,c0495bf24168a6d5d06ede4d199c28bdd351ae86,2016-08-07 23:44:22+02:00,154,116552,Well44497a.java,c0495bf24168a6d5d06ede4d199c28bdd351ae86,2016-08-07 23:44:22+02:00,154,116552
same,Well44497bTest.java,c0495bf24168a6d5d06ede4d199c28bdd351ae86,2016-08-07 23:44:22+02:00,154,116552,Well44497b.java,c0495bf24168a6d5d06ede4d199c28bdd351ae86,2016-08-07 23:44:22+02:00,154,116552
same,Well512aTest.java,c0495bf24168a6d5d06ede4d199c28bdd351ae86,2016-08-07 23:44:22+02:00,154,116552,Well512a.java,c0495bf24168a6d5d06ede4d199c28bdd351ae86,2016-08-07 23:44:22+02:00,154,116552
same,MersenneTwister64Test.java,c0495bf24168a6d5d06ede4d199c28bdd351ae86,2016-08-07 23:44:22+02:00,154,116552,MersenneTwister64.java,c0495bf24168a6d5d06ede4d199c28bdd351ae86,2016-08-07 23:44:22+02:00,154,116552
same,SplitMix64Test.java,c0495bf24168a6d5d06ede4d199c28bdd351ae86,2016-08-07 23:44:22+02:00,154,116552,SplitMix64.java,c0495bf24168a6d5d06ede4d199c28bdd351ae86,2016-08-07 23:44:22+02:00,154,116552
same,TwoCmresTest.java,c0495bf24168a6d5d06ede4d199c28bdd351ae86,2016-08-07 23:44:22+02:00,154,116552,TwoCmres.java,c0495bf24168a6d5d06ede4d199c28bdd351ae86,2016-08-07 23:44:22+02:00,154,116552
same,XorShift1024StarTest.java,c0495bf24168a6d5d06ede4d199c28bdd351ae86,2016-08-07 23:44:22+02:00,154,116552,XorShift1024Star.java,c0495bf24168a6d5d06ede4d199c28bdd351ae86,2016-08-07 23:44:22+02:00,154,116552
same,NumberFactoryTest.java,c0495bf24168a6d5d06ede4d199c28bdd351ae86,2016-08-07 23:44:22+02:00,154,116552,NumberFactory.java,c0495bf24168a6d5d06ede4d199c28bdd351ae86,2016-08-07 23:44:22+02:00,154,116552
same,SeedFactoryTest.java,c0495bf24168a6d5d06ede4d199c28bdd351ae86,2016-08-07 23:44:22+02:00,154,116552,SeedFactory.java,c0495bf24168a6d5d06ede4d199c28bdd351ae86,2016-08-07 23:44:22+02:00,154,116552
same,MultiplyWithCarry256Test.java,cfd849d18b2be6698310a64be00c28662f3fb636,2016-08-30 03:04:04+02:00,13,23691,MultiplyWithCarry256.java,cfd849d18b2be6698310a64be00c28662f3fb636,2016-08-30 03:04:04+02:00,13,23691
same,KISSRandomTest.java,cfd849d18b2be6698310a64be00c28662f3fb636,2016-08-30 03:04:04+02:00,13,23691,KISSRandom.java,cfd849d18b2be6698310a64be00c28662f3fb636,2016-08-30 03:04:04+02:00,13,23691
same,ByteArray2IntArrayTest.java,ce4727490a97a4d108fd611b62b769ab87320e2d,2016-09-02 02:49:10+02:00,6,194,ByteArray2IntArray.java,ce4727490a97a4d108fd611b62b769ab87320e2d,2016-09-02 02:49:10+02:00,6,194
same,ByteArray2LongArrayTest.java,ce4727490a97a4d108fd611b62b769ab87320e2d,2016-09-02 02:49:10+02:00,6,194,ByteArray2LongArray.java,ce4727490a97a4d108fd611b62b769ab87320e2d,2016-09-02 02:49:10+02:00,6,194
after,IntArray2LongArrayTest.java,5dd1aeff7e6926776f958587fa5b508b3c1585e0,2016-09-02 03:39:11+02:00,1,39,IntArray2LongArray.java,c0495bf24168a6d5d06ede4d199c28bdd351ae86,2016-08-07 23:44:22+02:00,154,116552
