type,test_file,hash_test_creation,test_creation_time,test_commit_files,test_commit_lines,impl_file,hash_impl_creation,impl_creation_time,impl_commit_files,impl_commit_lines
before,JDOHelperTest.java,a181564a4e00ac16794c1bae8c2e912ee8bb7688,2005-03-19 00:53:48+00:00,40,7011,JDOHelper.java,a181564a4e00ac16794c1bae8c2e912ee8bb7688,2005-03-19 00:53:48+00:00,40,7011
before,JDOImplHelperTest.java,a181564a4e00ac16794c1bae8c2e912ee8bb7688,2005-03-19 00:53:48+00:00,40,7011,JDOImplHelper.java,a181564a4e00ac16794c1bae8c2e912ee8bb7688,2005-03-19 00:53:48+00:00,40,7011
before,InheritanceTest.java,11c2224048bda624c0f18422c4e98e9a01846d94,2005-03-19 01:02:29+00:00,783,167461,Inheritance.java,baf509b052708365cd999479a5d47771b166ab81,2007-06-15 00:31:23+00:00,51,2422
before,QueryTest.java,11c2224048bda624c0f18422c4e98e9a01846d94,2005-03-19 01:02:29+00:00,783,167461,Query.java,a181564a4e00ac16794c1bae8c2e912ee8bb7688,2005-03-19 00:53:48+00:00,40,7011
before,TreeTest.java,11c2224048bda624c0f18422c4e98e9a01846d94,2005-03-19 01:02:29+00:00,783,167461,Tree.java,11c2224048bda624c0f18422c4e98e9a01846d94,2005-03-19 01:02:29+00:00,783,167461
before,PersistenceManagerTest.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,PersistenceManager.java,a181564a4e00ac16794c1bae8c2e912ee8bb7688,2005-03-19 00:53:48+00:00,40,7011
before,EnhancerTest.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,Enhancer.java,96414030733e2f5a9546b8680767321f5af2dfd5,2009-09-24 22:26:27+00:00,9,1131
before,ExtentTest.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,Extent.java,a181564a4e00ac16794c1bae8c2e912ee8bb7688,2005-03-19 00:53:48+00:00,40,7011
before,TestArrayCollections.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,ArrayCollections.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446
before,TestArrayListCollections.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,ArrayListCollections.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446
before,TestCollectionCollections.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,CollectionCollections.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446
before,TestFieldsOfBigDecimal.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,FieldsOfBigDecimal.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446
before,TestFieldsOfBigInteger.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,FieldsOfBigInteger.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446
before,TestFieldsOfBoolean.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,FieldsOfBoolean.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446
before,TestFieldsOfByte.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,FieldsOfByte.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446
before,TestFieldsOfCharacter.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,FieldsOfCharacter.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446
before,TestFieldsOfDate.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,FieldsOfDate.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446
before,TestFieldsOfDouble.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,FieldsOfDouble.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446
before,TestFieldsOfFloat.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,FieldsOfFloat.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446
before,TestFieldsOfInteger.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,FieldsOfInteger.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446
before,TestFieldsOfLocale.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,FieldsOfLocale.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446
before,TestFieldsOfLong.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,FieldsOfLong.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446
before,TestFieldsOfObject.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,FieldsOfObject.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446
before,TestFieldsOfPrimitiveboolean.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,FieldsOfPrimitiveboolean.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446
before,TestFieldsOfPrimitivebyte.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,FieldsOfPrimitivebyte.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446
before,TestFieldsOfPrimitivechar.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,FieldsOfPrimitivechar.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446
before,TestFieldsOfPrimitivedouble.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,FieldsOfPrimitivedouble.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446
before,TestFieldsOfPrimitivefloat.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,FieldsOfPrimitivefloat.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446
before,TestFieldsOfPrimitiveint.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,FieldsOfPrimitiveint.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446
before,TestFieldsOfPrimitivelong.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,FieldsOfPrimitivelong.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446
before,TestFieldsOfPrimitiveshort.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,FieldsOfPrimitiveshort.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446
before,TestFieldsOfShort.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,FieldsOfShort.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446
before,TestFieldsOfSimpleClass.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,FieldsOfSimpleClass.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446
before,TestFieldsOfSimpleInterface.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,FieldsOfSimpleInterface.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446
before,TestFieldsOfString.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,FieldsOfString.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446
before,TestHashMapStringKeyCollections.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,HashMapStringKeyCollections.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446
before,TestHashMapStringValueCollections.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,HashMapStringValueCollections.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446
before,TestHashSetCollections.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,HashSetCollections.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446
before,TestHashtableStringKeyCollections.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,HashtableStringKeyCollections.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446
before,TestHashtableStringValueCollections.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,HashtableStringValueCollections.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446
before,TestLinkedListCollections.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,LinkedListCollections.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446
before,TestListCollections.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,ListCollections.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446
before,TestMapStringKeyCollections.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,MapStringKeyCollections.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446
before,TestMapStringValueCollections.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,MapStringValueCollections.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446
before,TestSetCollections.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,SetCollections.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446
before,TestTreeMapStringKeyCollections.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,TreeMapStringKeyCollections.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446
before,TestTreeMapStringValueCollections.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,TreeMapStringValueCollections.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446
before,TestTreeSetCollections.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,TreeSetCollections.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446
before,TestUtil.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,Util.java,11c2224048bda624c0f18422c4e98e9a01846d94,2005-03-19 01:02:29+00:00,783,167461
before,TestVectorCollections.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446,VectorCollections.java,d9eadc910358b6237b5bd69e33ae69f8634cd740,2005-03-19 01:07:39+00:00,572,120446
before,ByteIdentityTest.java,f71bd99094c2a50c8b698638a9a8f2a5f9b465a5,2005-03-28 18:25:05+00:00,71,9539,ByteIdentity.java,f71bd99094c2a50c8b698638a9a8f2a5f9b465a5,2005-03-28 18:25:05+00:00,71,9539
before,CharIdentityTest.java,f71bd99094c2a50c8b698638a9a8f2a5f9b465a5,2005-03-28 18:25:05+00:00,71,9539,CharIdentity.java,f71bd99094c2a50c8b698638a9a8f2a5f9b465a5,2005-03-28 18:25:05+00:00,71,9539
before,IntIdentityTest.java,f71bd99094c2a50c8b698638a9a8f2a5f9b465a5,2005-03-28 18:25:05+00:00,71,9539,IntIdentity.java,f71bd99094c2a50c8b698638a9a8f2a5f9b465a5,2005-03-28 18:25:05+00:00,71,9539
before,LongIdentityTest.java,f71bd99094c2a50c8b698638a9a8f2a5f9b465a5,2005-03-28 18:25:05+00:00,71,9539,LongIdentity.java,f71bd99094c2a50c8b698638a9a8f2a5f9b465a5,2005-03-28 18:25:05+00:00,71,9539
before,ShortIdentityTest.java,f71bd99094c2a50c8b698638a9a8f2a5f9b465a5,2005-03-28 18:25:05+00:00,71,9539,ShortIdentity.java,f71bd99094c2a50c8b698638a9a8f2a5f9b465a5,2005-03-28 18:25:05+00:00,71,9539
before,SingleFieldIdentityTest.java,f71bd99094c2a50c8b698638a9a8f2a5f9b465a5,2005-03-28 18:25:05+00:00,71,9539,SingleFieldIdentity.java,f71bd99094c2a50c8b698638a9a8f2a5f9b465a5,2005-03-28 18:25:05+00:00,71,9539
before,StringIdentityTest.java,f71bd99094c2a50c8b698638a9a8f2a5f9b465a5,2005-03-28 18:25:05+00:00,71,9539,StringIdentity.java,f71bd99094c2a50c8b698638a9a8f2a5f9b465a5,2005-03-28 18:25:05+00:00,71,9539
before,InstanceLifecycleEventTest.java,8c168ccbf883df3a95685b2dc7f5ab4e920944cf,2005-03-28 19:39:20+00:00,3,146,InstanceLifecycleEvent.java,f71bd99094c2a50c8b698638a9a8f2a5f9b465a5,2005-03-28 18:25:05+00:00,71,9539
before,ObjectIdentityTest.java,ebaf9fbb7dd45e7373a3a499c1d0de706dd11954,2005-07-08 01:17:40+00:00,19,1224,ObjectIdentity.java,ebaf9fbb7dd45e7373a3a499c1d0de706dd11954,2005-07-08 01:17:40+00:00,19,1224
before,StateInterrogationTest.java,e8167079560f0491dab7cd4754b2fdf40a1c774e,2005-08-08 23:45:27+00:00,4,1011,StateInterrogation.java,f71bd99094c2a50c8b698638a9a8f2a5f9b465a5,2005-03-28 18:25:05+00:00,71,9539
before,DataStoreCacheTest.java,fb4f222f5d13a130992f55805fa061a244f6f397,2006-03-08 20:02:55+00:00,2,104,DataStoreCache.java,f71bd99094c2a50c8b698638a9a8f2a5f9b465a5,2005-03-28 18:25:05+00:00,71,9539
before,ObjectStateTest.java,a24fb460ea8fbbd1e8c962c536b63a2f427bfc74,2007-09-28 20:26:48+00:00,3,369,ObjectState.java,a24fb460ea8fbbd1e8c962c536b63a2f427bfc74,2007-09-28 20:26:48+00:00,3,369
