type,test_file,hash_test_creation,test_creation_time,test_commit_files,test_commit_lines,impl_file,hash_impl_creation,impl_creation_time,impl_commit_files,impl_commit_lines
before,TestTruncate.java,a5eb3f6ba171ecfc517a4f09ae9654e7d8ae0291,2017-12-18 16:25:08-08:00,404,88984,Truncate.java,a5eb3f6ba171ecfc517a4f09ae9654e7d8ae0291,2017-12-18 16:25:08-08:00,404,88984
before,TestFastAppend.java,a5eb3f6ba171ecfc517a4f09ae9654e7d8ae0291,2017-12-18 16:25:08-08:00,404,88984,FastAppend.java,a5eb3f6ba171ecfc517a4f09ae9654e7d8ae0291,2017-12-18 16:25:08-08:00,404,88984
before,TestMergeAppend.java,a5eb3f6ba171ecfc517a4f09ae9654e7d8ae0291,2017-12-18 16:25:08-08:00,404,88984,MergeAppend.java,a5eb3f6ba171ecfc517a4f09ae9654e7d8ae0291,2017-12-18 16:25:08-08:00,404,88984
before,TestSchemaUpdate.java,a5eb3f6ba171ecfc517a4f09ae9654e7d8ae0291,2017-12-18 16:25:08-08:00,404,88984,SchemaUpdate.java,a5eb3f6ba171ecfc517a4f09ae9654e7d8ae0291,2017-12-18 16:25:08-08:00,404,88984
before,TestTables.java,a5eb3f6ba171ecfc517a4f09ae9654e7d8ae0291,2017-12-18 16:25:08-08:00,404,88984,Tables.java,a5eb3f6ba171ecfc517a4f09ae9654e7d8ae0291,2017-12-18 16:25:08-08:00,404,88984
before,TestSparkAvroReader.java,a5eb3f6ba171ecfc517a4f09ae9654e7d8ae0291,2017-12-18 16:25:08-08:00,404,88984,SparkAvroReader.java,a5eb3f6ba171ecfc517a4f09ae9654e7d8ae0291,2017-12-18 16:25:08-08:00,404,88984
before,TestDates.java,0599b27fd71c48109d46ba72b184cf9fb8b239d7,2017-12-22 11:35:16-08:00,13,630,Dates.java,a5eb3f6ba171ecfc517a4f09ae9654e7d8ae0291,2017-12-18 16:25:08-08:00,404,88984
before,TestIdentity.java,0599b27fd71c48109d46ba72b184cf9fb8b239d7,2017-12-22 11:35:16-08:00,13,630,Identity.java,a5eb3f6ba171ecfc517a4f09ae9654e7d8ae0291,2017-12-18 16:25:08-08:00,404,88984
before,TestTimestamps.java,0599b27fd71c48109d46ba72b184cf9fb8b239d7,2017-12-22 11:35:16-08:00,13,630,Timestamps.java,a5eb3f6ba171ecfc517a4f09ae9654e7d8ae0291,2017-12-18 16:25:08-08:00,404,88984
before,TestIcebergSource.java,3097bd89e93a0761fc8b1432292619a1b58cb48a,2018-01-04 10:40:41-08:00,3,868,IcebergSource.java,a5eb3f6ba171ecfc517a4f09ae9654e7d8ae0291,2017-12-18 16:25:08-08:00,404,88984
before,TestBinPacking.java,f3daca81616d56494b9f2ccd88f114b6f41fa9ef,2018-02-20 13:11:50-08:00,2,336,BinPacking.java,f3daca81616d56494b9f2ccd88f114b6f41fa9ef,2018-02-20 13:11:50-08:00,2,336
before,TestMetricsEvaluator.java,60645579c4c4e6c8de89758ee22034667c4a8e48,2018-05-02 10:54:44-07:00,19,1460,MetricsEvaluator.java,60645579c4c4e6c8de89758ee22034667c4a8e48,2018-05-02 10:54:44-07:00,19,1460
before,TestStrictMetricsEvaluator.java,35fe2f95be4a7c72f67b6f166e68d573bc346138,2018-05-10 11:38:23-07:00,7,718,StrictMetricsEvaluator.java,35fe2f95be4a7c72f67b6f166e68d573bc346138,2018-05-10 11:38:23-07:00,7,718
before,TestReplaceFiles.java,5a445b88d9cbeb2b3695cc72d12cfbbfeaa5b4d2,2018-06-25 14:39:52-07:00,5,465,ReplaceFiles.java,a5eb3f6ba171ecfc517a4f09ae9654e7d8ae0291,2017-12-18 16:25:08-08:00,404,88984
before,TestParquetAvroReader.java,d972f45d93f12d554e1bf50e7b115b3fc8ec3152,2018-06-28 15:58:16-07:00,42,6247,ParquetAvroReader.java,d972f45d93f12d554e1bf50e7b115b3fc8ec3152,2018-06-28 15:58:16-07:00,42,6247
before,TestParquetAvroWriter.java,d972f45d93f12d554e1bf50e7b115b3fc8ec3152,2018-06-28 15:58:16-07:00,42,6247,ParquetAvroWriter.java,d972f45d93f12d554e1bf50e7b115b3fc8ec3152,2018-06-28 15:58:16-07:00,42,6247
before,TestTransaction.java,035f24638fa952fb107719228b15faf815a34ea8,2018-08-27 14:54:05-07:00,14,1389,Transaction.java,035f24638fa952fb107719228b15faf815a34ea8,2018-08-27 14:54:05-07:00,14,1389
before,SchemaUtilTest.java,de5407e0c7dab4f34b1f1b9b43c040ace8819987,2018-09-05 21:32:21-07:00,2,269,SchemaUtil.java,87ce33fa12902f45be50d0360ffca1b89d0abde8,2018-08-24 10:16:29-07:00,7,1244
before,TestHiveTables.java,b5af3fc4c1640c6d5fad77f1f115457668b3c614,2018-09-05 23:05:38-07:00,9,387,HiveTables.java,b5af3fc4c1640c6d5fad77f1f115457668b3c614,2018-09-05 23:05:38-07:00,9,387
