type,test_file,hash_test_creation,test_creation_time,test_commit_files,test_commit_lines,impl_file,hash_impl_creation,impl_creation_time,impl_commit_files,impl_commit_lines
before,TestMessageLogger.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,2012-10-24 14:57:32-04:00,134,9221,MessageLogger.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,2012-10-24 14:57:32-04:00,134,9221
before,TestMessageLoggerFactory.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,2012-10-24 14:57:32-04:00,134,9221,MessageLoggerFactory.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,2012-10-24 14:57:32-04:00,134,9221
before,GatewayFilterTest.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,2012-10-24 14:57:32-04:00,134,9221,GatewayFilter.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,2012-10-24 14:57:32-04:00,134,9221
before,GatewayConfigTest.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,2012-10-24 14:57:32-04:00,134,9221,GatewayConfig.java,43b754dd18c04d68ce5e7fd34997a5c49b7e7159,2012-11-12 15:22:23-08:00,19,737
before,HtmlUrlRewritingOutputStreamTest.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,2012-10-24 14:57:32-04:00,134,9221,HtmlUrlRewritingOutputStream.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,2012-10-24 14:57:32-04:00,134,9221
before,MessagesTest.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,2012-10-24 14:57:32-04:00,134,9221,Messages.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,2012-10-24 14:57:32-04:00,134,9221
before,ResourcesTest.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,2012-10-24 14:57:32-04:00,134,9221,Resources.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,2012-10-24 14:57:32-04:00,134,9221
before,EmbeddedApacheDirectoryServerTest.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,2012-10-24 14:57:32-04:00,134,9221,EmbeddedApacheDirectoryServer.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,2012-10-24 14:57:32-04:00,134,9221
before,PathMapTest.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,2012-10-24 14:57:32-04:00,134,9221,PathMap.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,2012-10-24 14:57:32-04:00,134,9221
before,UrlRewriterTest.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,2012-10-24 14:57:32-04:00,134,9221,UrlRewriter.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,2012-10-24 14:57:32-04:00,134,9221
before,ExpanderTest.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,2012-10-24 14:57:32-04:00,134,9221,Expander.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,2012-10-24 14:57:32-04:00,134,9221
before,ExtractorTest.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,2012-10-24 14:57:32-04:00,134,9221,Extractor.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,2012-10-24 14:57:32-04:00,134,9221
before,ParserTest.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,2012-10-24 14:57:32-04:00,134,9221,Parser.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,2012-10-24 14:57:32-04:00,134,9221
before,RewriterTest.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,2012-10-24 14:57:32-04:00,134,9221,Rewriter.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,2012-10-24 14:57:32-04:00,134,9221
before,MatcherTest.java,88d58477d2bbe6adea5a315c6b1bd833949ee57c,2012-10-25 15:59:18-04:00,19,1001,Matcher.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,2012-10-24 14:57:32-04:00,134,9221
before,SegmentTest.java,f1c242025e67b02917ab7a781875cf557622bf7c,2012-10-30 09:59:57-04:00,4,271,Segment.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,2012-10-24 14:57:32-04:00,134,9221
before,TemplateTest.java,9bcc9a37a3cddf39e02acb92c4265a8f63bf93b5,2012-10-31 17:43:51-04:00,33,2383,Template.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,2012-10-24 14:57:32-04:00,134,9221
before,FileClusterTopologyProviderTest.java,5dd00a0063bab4fc886895ebd73eefbbf0f63439,2012-11-21 11:19:41-05:00,59,1475,FileClusterTopologyProvider.java,5dd00a0063bab4fc886895ebd73eefbbf0f63439,2012-11-21 11:19:41-05:00,59,1475
before,ClusterTopologyRulesModuleTest.java,5dd00a0063bab4fc886895ebd73eefbbf0f63439,2012-11-21 11:19:41-05:00,59,1475,ClusterTopologyRulesModule.java,5dd00a0063bab4fc886895ebd73eefbbf0f63439,2012-11-21 11:19:41-05:00,59,1475
before,ClusterDescriptorTest.java,a364e4523a35c819f7f3ea3900654c2ac56ab1ba,2012-11-30 00:51:04-05:00,9,540,ClusterDescriptor.java,07be2d1261c3290160cbc32fbda22e9146648d54,2012-11-29 17:26:07-05:00,34,1103
before,XmlClusterDescriptorExporterTest.java,a364e4523a35c819f7f3ea3900654c2ac56ab1ba,2012-11-30 00:51:04-05:00,9,540,XmlClusterDescriptorExporter.java,07be2d1261c3290160cbc32fbda22e9146648d54,2012-11-29 17:26:07-05:00,34,1103
before,XmlClusterDescriptorImporterTest.java,a364e4523a35c819f7f3ea3900654c2ac56ab1ba,2012-11-30 00:51:04-05:00,9,540,XmlClusterDescriptorImporter.java,07be2d1261c3290160cbc32fbda22e9146648d54,2012-11-29 17:26:07-05:00,34,1103
before,ClusterDeploymentFactoryTest.java,44e4b761bc9a885bbc03f0ba60166bf3f8ee1838,2012-11-30 14:07:00-05:00,26,846,ClusterDeploymentFactory.java,07be2d1261c3290160cbc32fbda22e9146648d54,2012-11-29 17:26:07-05:00,34,1103
before,IdentityAssertionHttpServletRequestWrapperTest.java,0a46ee9e72814cd5cf468af0299d60deed9265e9,2012-12-19 15:56:00-05:00,21,1465,IdentityAssertionHttpServletRequestWrapper.java,8f1a5aaabec4aaef70cd049bb518d869247099cf,2012-12-17 21:40:37-05:00,6,326
before,PrincipalMapperTest.java,01da3efdf8947616a9d23a572dd80927915f0cc4,2013-01-21 13:19:52-05:00,5,278,PrincipalMapper.java,01da3efdf8947616a9d23a572dd80927915f0cc4,2013-01-21 13:19:52-05:00,5,278
before,UrlRewriteProcessorTest.java,6ba3d344ec1640e160479e2b1d2b2630eb50bdc7,2013-02-05 11:22:21-05:00,178,8950,UrlRewriteProcessor.java,6ba3d344ec1640e160479e2b1d2b2630eb50bdc7,2013-02-05 11:22:21-05:00,178,8950
before,UrlRewriteRulesDescriptorFactoryTest.java,6ba3d344ec1640e160479e2b1d2b2630eb50bdc7,2013-02-05 11:22:21-05:00,178,8950,UrlRewriteRulesDescriptorFactory.java,6ba3d344ec1640e160479e2b1d2b2630eb50bdc7,2013-02-05 11:22:21-05:00,178,8950
before,UrlRewriteServletContextListenerTest.java,6ba3d344ec1640e160479e2b1d2b2630eb50bdc7,2013-02-05 11:22:21-05:00,178,8950,UrlRewriteServletContextListener.java,6ba3d344ec1640e160479e2b1d2b2630eb50bdc7,2013-02-05 11:22:21-05:00,178,8950
