type,test_file,hash_test_creation,test_creation_time,impl_file,hash_impl_creation,impl_creation_time
same,TestHiveDriver.java,5256187ce24b2bec9607f2f41e72178f13b889bd,2013-05-23 12:28:12+05:30,HiveDriver.java,5256187ce24b2bec9607f2f41e72178f13b889bd,2013-05-23 12:28:12+05:30
same,TestImpalaDriver.java,5256187ce24b2bec9607f2f41e72178f13b889bd,2013-05-23 12:28:12+05:30,ImpalaDriver.java,5256187ce24b2bec9607f2f41e72178f13b889bd,2013-05-23 12:28:12+05:30
same,TestImpalaResultSet.java,5256187ce24b2bec9607f2f41e72178f13b889bd,2013-05-23 12:28:12+05:30,ImpalaResultSet.java,5256187ce24b2bec9607f2f41e72178f13b889bd,2013-05-23 12:28:12+05:30
same,TestDimensionDDL.java,58be654c71dbf7cd1f640b1518a6b784ee4ec864,2013-06-24 14:07:27+05:30,DimensionDDL.java,58be654c71dbf7cd1f640b1518a6b784ee4ec864,2013-06-24 14:07:27+05:30
after,TestCubeDDL.java,c43c7afdd2c6d680372509e5fde3347b2a1b0c2f,2013-06-25 13:28:28+05:30,CubeDDL.java,58be654c71dbf7cd1f640b1518a6b784ee4ec864,2013-06-24 14:07:27+05:30
same,TestCubeSelectorService.java,23d37aaefbb885375462b9053a2b35efca99667a,2013-08-21 14:29:00+05:30,CubeSelectorService.java,23d37aaefbb885375462b9053a2b35efca99667a,2013-08-21 14:29:00+05:30
after,TestForwardingUDF.java,84f8afa3dd7b36ab153ae084a598bc6d2f46bff0,2013-08-26 16:17:24+05:30,ForwardingUDF.java,2034f808284f965056e6af8db6093647986b383a,2013-08-22 15:31:09+05:30
same,TestQueryResource.java,dc94a1868d77a0ee9e4109c76f6cb254aba4a412,2013-10-15 11:09:40+05:30,QueryResource.java,dc94a1868d77a0ee9e4109c76f6cb254aba4a412,2013-10-15 11:09:40+05:30
after,TestIndexResource.java,f98e99b0aa31f7597fe84f54d5266a83204190bf,2013-10-22 13:18:49+05:30,IndexResource.java,25655a2c721e1da38d49d946bbc75031ca9d2e13,2013-10-16 13:45:19+05:30
same,TestDataSourceConnectionProvider.java,f6596c4fe8bf3b65014f08db401a4d5ceaccacf8,2014-02-20 14:37:47+05:30,DataSourceConnectionProvider.java,f6596c4fe8bf3b65014f08db401a4d5ceaccacf8,2014-02-20 14:37:47+05:30
same,TestDBStorage.java,6a35a6d938bd7525bc8bbb6cf242ab43907352be,2014-03-06 10:34:34+05:30,DBStorage.java,6a35a6d938bd7525bc8bbb6cf242ab43907352be,2014-03-06 10:34:34+05:30
same,GrillConnectionTest.java,8ae98af80a8f3a3701fc20190e1baef1ba7095ad,2014-03-11 11:28:18+05:30,GrillConnection.java,8ae98af80a8f3a3701fc20190e1baef1ba7095ad,2014-03-11 11:28:18+05:30
same,TestColumnarSQLRewriter.java,18288066eb7da746405fa7fb902fe78c752bb8ff,2014-04-16 10:47:47+05:30,ColumnarSQLRewriter.java,18288066eb7da746405fa7fb902fe78c752bb8ff,2014-04-16 10:47:47+05:30
before,TestAbstractFileFormatter.java,54d5c1a804d56aa1279abc5756217631e273caf7,2014-06-17 18:01:51+05:30,AbstractFileFormatter.java,b65cec82d05760546f5c0383d0e910b60f4df921,2014-06-20 17:54:49+05:30
same,TestFilePersistentFormatter.java,54d5c1a804d56aa1279abc5756217631e273caf7,2014-06-17 18:01:51+05:30,FilePersistentFormatter.java,54d5c1a804d56aa1279abc5756217631e273caf7,2014-06-17 18:01:51+05:30
same,TestFileSerdeFormatter.java,54d5c1a804d56aa1279abc5756217631e273caf7,2014-06-17 18:01:51+05:30,FileSerdeFormatter.java,54d5c1a804d56aa1279abc5756217631e273caf7,2014-06-17 18:01:51+05:30
after,TestCSVSerde.java,3a13100e8d7d240a4b23419d26e673b3a875115a,2014-06-23 14:43:40+05:30,CSVSerde.java,54d5c1a804d56aa1279abc5756217631e273caf7,2014-06-17 18:01:51+05:30
after,TestGrillService.java,a19e3d208eff493f8c8d3a2e4e88e9b8ac128b39,2014-06-24 13:29:27+05:30,GrillService.java,bd06c4088f14dc6e125d21cec8e5d3303489c6d7,2013-10-16 11:50:19+05:30
after,TestGrillCubeCommands.java,202947ad70696cab8e40632cd170f50632b59518,2014-06-27 10:56:31+05:30,GrillCubeCommands.java,d670e89c32eb26e7857fd430173f7a373d2789ed,2014-03-28 09:17:46+05:30
after,TestGrillDatabaseCommands.java,202947ad70696cab8e40632cd170f50632b59518,2014-06-27 10:56:31+05:30,GrillDatabaseCommands.java,d670e89c32eb26e7857fd430173f7a373d2789ed,2014-03-28 09:17:46+05:30
after,TestGrillDimensionCommands.java,202947ad70696cab8e40632cd170f50632b59518,2014-06-27 10:56:31+05:30,GrillDimensionCommands.java,d670e89c32eb26e7857fd430173f7a373d2789ed,2014-03-28 09:17:46+05:30
after,TestGrillFactCommands.java,202947ad70696cab8e40632cd170f50632b59518,2014-06-27 10:56:31+05:30,GrillFactCommands.java,d670e89c32eb26e7857fd430173f7a373d2789ed,2014-03-28 09:17:46+05:30
after,TestGrillQueryCommands.java,202947ad70696cab8e40632cd170f50632b59518,2014-06-27 10:56:31+05:30,GrillQueryCommands.java,2fa2f27666f631ac726486afd8e551fb7d7849b3,2014-03-28 16:23:33+05:30
after,TestGrillStorageCommands.java,202947ad70696cab8e40632cd170f50632b59518,2014-06-27 10:56:31+05:30,GrillStorageCommands.java,d670e89c32eb26e7857fd430173f7a373d2789ed,2014-03-28 09:17:46+05:30
before,TestUtil.java,202947ad70696cab8e40632cd170f50632b59518,2014-06-27 10:56:31+05:30,Util.java,b46e9f6deff0def07360d118f59332fa3e68c993,2015-04-21 21:35:08+05:30
after,TestStaticFileResource.java,ec85e430e4aa7a215dc95d9852ebd55258317a41,2014-07-15 12:01:04+05:30,StaticFileResource.java,6567e09b66be69b2c48279fa8cbfd6cb2061583d,2014-07-14 14:20:01+05:30
same,TestGrillNativeTableCommands.java,520d12e2c76003077d51b32d1e8803051eb17870,2014-08-06 14:27:03+05:30,GrillNativeTableCommands.java,520d12e2c76003077d51b32d1e8803051eb17870,2014-08-06 14:27:03+05:30
same,TestLogStatisticsStore.java,0e5f51de5541cd5f789bab5cc68c782310b48225,2014-08-18 13:42:46+05:30,LogStatisticsStore.java,0e5f51de5541cd5f789bab5cc68c782310b48225,2014-08-18 13:42:46+05:30
same,TestStatisticsLogFileScannerTask.java,0e5f51de5541cd5f789bab5cc68c782310b48225,2014-08-18 13:42:46+05:30,StatisticsLogFileScannerTask.java,0e5f51de5541cd5f789bab5cc68c782310b48225,2014-08-18 13:42:46+05:30
same,TestStatisticsLogPartitionHandler.java,0e5f51de5541cd5f789bab5cc68c782310b48225,2014-08-18 13:42:46+05:30,StatisticsLogPartitionHandler.java,0e5f51de5541cd5f789bab5cc68c782310b48225,2014-08-18 13:42:46+05:30
before,TestSessionService.java,8709e56039a668b8f27d0821004dbba17be9cd2c,2014-08-22 11:47:52+05:30,SessionService.java,d98c432016b7b061d85b77e16a8faffd58572490,2014-12-15 21:47:36+05:30
after,TestGrillApplication.java,90bd0ca64e2da12a46777d8c9bb80f9ed43394e1,2014-09-16 15:22:02+05:30,GrillApplication.java,51a49b7f8fe4ef24b55c6a18e9aa70e6fa248f51,2014-09-15 19:24:55+05:30
