type,test_file,hash_test_creation,test_creation_time,test_commit_files,test_commit_lines,impl_file,hash_impl_creation,impl_creation_time,impl_commit_files,impl_commit_lines
before,AccessDataContextTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,AccessDataContext.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,AbstractDataContextTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,AbstractDataContext.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,CompositeDataContextTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,CompositeDataContext.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,MetaModelHelperTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,MetaModelHelper.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,QueryPostprocessDataContextTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,QueryPostprocessDataContext.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,SchemaNameComparatorTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,SchemaNameComparator.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,ColumnTypeDetectorTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,ColumnTypeDetector.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,ConvertedDataSetInterceptorTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,ConvertedDataSetInterceptor.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,ConvertedRowInsertionInterceptorTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,ConvertedRowInsertionInterceptor.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,ConvertersTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,Converters.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,StringToBooleanConverterTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,StringToBooleanConverter.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,StringToDateConverterTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,StringToDateConverter.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,StringToDoubleConverterTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,StringToDoubleConverter.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,StringToIntegerConverterTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,StringToIntegerConverter.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,DataSetIteratorTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,DataSetIterator.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,DataSetTableModelTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,DataSetTableModel.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,DefaultRowTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,DefaultRow.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,FirstRowDataSetTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,FirstRowDataSet.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,RowPublisherDataSetTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,RowPublisherDataSet.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,RowTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,Row.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,StyleBuilderTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,StyleBuilder.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,InterceptableDataContextTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,InterceptableDataContext.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,InterceptorListTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,InterceptorList.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,InterceptorsTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,Interceptors.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,DefaultCompiledQueryTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,DefaultCompiledQuery.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,FilterItemTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,FilterItem.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,FromClauseTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,FromClause.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,FromItemTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,FromItem.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,FunctionTypeTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,FunctionType.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,GroupByItemTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,GroupByItem.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,OperatorTypeTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,OperatorType.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,OrderByItemTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,OrderByItem.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,QueryTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,Query.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,SelectClauseTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,SelectClause.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,SelectItemTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,SelectItem.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,GroupedQueryBuilderImplTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,GroupedQueryBuilderImpl.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,WhereBuilderImplTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,WhereBuilderImpl.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,QueryParserTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,QueryParser.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,QueryPartParserTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,QueryPartParser.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,ColumnTypeTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,ColumnType.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,ImmutableSchemaTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,ImmutableSchema.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,MutableColumnTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,MutableColumn.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,MutableSchemaTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,MutableSchema.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,MutableTableTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,MutableTable.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,TableTypeTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,TableType.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,AlphabeticSequenceTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,AlphabeticSequence.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,BaseObjectTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,BaseObject.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,BooleanComparatorTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,BooleanComparator.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,ClasspathResourceTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,ClasspathResource.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,CollectionUtilsTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,CollectionUtils.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,DateUtilsTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,DateUtils.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,EqualsBuilderTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,EqualsBuilder.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,ExclusionPredicateTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,ExclusionPredicate.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,FileHelperTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,FileHelper.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,FormatHelperTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,FormatHelper.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,InMemoryResourceTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,InMemoryResource.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
before,InclusionPredicateTest.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876,InclusionPredicate.java,3071954647c684d12dce8efc46bb8d20b47aef4c,2013-06-09 20:32:07+00:00,659,87876
