type,test_file,hash_test_creation,test_creation_time,test_commit_files,test_commit_lines,impl_file,hash_impl_creation,impl_creation_time,impl_commit_files,impl_commit_lines
before,SimulateLoadTest.java,be2c8e450b634992366abab4d82145d8c9d745e1,2015-12-13 05:54:37+00:00,976,159749,SimulateLoad.java,be2c8e450b634992366abab4d82145d8c9d745e1,2015-12-13 05:54:37+00:00,976,159749
before,TestMD5.java,be2c8e450b634992366abab4d82145d8c9d745e1,2015-12-13 05:54:37+00:00,976,159749,MD5.java,be2c8e450b634992366abab4d82145d8c9d745e1,2015-12-13 05:54:37+00:00,976,159749
before,TestInvitation.java,be2c8e450b634992366abab4d82145d8c9d745e1,2015-12-13 05:54:37+00:00,976,159749,Invitation.java,be2c8e450b634992366abab4d82145d8c9d745e1,2015-12-13 05:54:37+00:00,976,159749
before,TestUserContact.java,be2c8e450b634992366abab4d82145d8c9d745e1,2015-12-13 05:54:37+00:00,976,159749,UserContact.java,be2c8e450b634992366abab4d82145d8c9d745e1,2015-12-13 05:54:37+00:00,976,159749
before,UserServiceTest.java,be2c8e450b634992366abab4d82145d8c9d745e1,2015-12-13 05:54:37+00:00,976,159749,UserService.java,be2c8e450b634992366abab4d82145d8c9d745e1,2015-12-13 05:54:37+00:00,976,159749
before,RecordingServiceTest.java,725171fd7785f974580e3902f3996d6006b292e4,2015-12-28 08:54:38+00:00,3,89,RecordingService.java,be2c8e450b634992366abab4d82145d8c9d745e1,2015-12-13 05:54:37+00:00,976,159749
before,TestStoredFile.java,15d6e022c2b2375069043ece472716af244b4640,2016-08-10 10:35:29+00:00,13,234,StoredFile.java,be2c8e450b634992366abab4d82145d8c9d745e1,2015-12-13 05:54:37+00:00,976,159749
before,TestOmCalendar.java,3de943d71750dc48c6e5b97322acca30849dabdb,2016-10-04 04:03:01+00:00,65,4058,OmCalendar.java,3de943d71750dc48c6e5b97322acca30849dabdb,2016-10-04 04:03:01+00:00,65,4058
before,TestCalendarPatterns.java,171ea6b1ba1cc9246e7cd5ee90130d1f7b24808b,2016-11-01 08:44:02+00:00,3,61,CalendarPatterns.java,be2c8e450b634992366abab4d82145d8c9d745e1,2015-12-13 05:54:37+00:00,976,159749
before,TestLocaleHelper.java,4cefae1cc3ba598e9b9013c16df2b97162fb2b3e,2016-11-24 03:30:38+00:00,5,127,LocaleHelper.java,4cefae1cc3ba598e9b9013c16df2b97162fb2b3e,2016-11-24 03:30:38+00:00,5,127
