type,test_file,hash_test_creation,test_creation_time,test_commit_files,test_commit_lines,impl_file,hash_impl_creation,impl_creation_time,impl_commit_files,impl_commit_lines
same,TestCoveredColumns.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518,CoveredColumns.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518
same,TestLocalTableState.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518,LocalTableState.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518
same,TestIndexMemStore.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518,IndexMemStore.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518
same,TestColumnTracker.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518,ColumnTracker.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518
same,TestCoveredColumnIndexCodec.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518,CoveredColumnIndexCodec.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518
same,TestApplyAndFilterDeletesFilter.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518,ApplyAndFilterDeletesFilter.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518
same,TestFamilyOnlyFilter.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518,FamilyOnlyFilter.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518
same,TestNewerTimestampFilter.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518,NewerTimestampFilter.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518
same,TestIndexUpdateManager.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518,IndexUpdateManager.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518
same,TestThreadPoolBuilder.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518,ThreadPoolBuilder.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518
same,TestThreadPoolManager.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518,ThreadPoolManager.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518
same,TestIndexManagementUtil.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518,IndexManagementUtil.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518
same,TestCachingHTableFactory.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518,CachingHTableFactory.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518
same,TestIndexWriter.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518,IndexWriter.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518
same,TestPerRegionIndexWriteCache.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518,PerRegionIndexWriteCache.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518
same,QueryOptimizerTest.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518,QueryOptimizer.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518
same,ScanRangesTest.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518,ScanRanges.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518
same,SelectStatementRewriterTest.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518,SelectStatementRewriter.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518
same,CSVLoaderTest.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518,CSVLoader.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518
same,CoalesceFunctionTest.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518,CoalesceFunction.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518
same,QueryPlanTest.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518,QueryPlan.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518
before,QueryTest.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518,Query.java,36b88651cbeb680a7d06828bcb5d61d440341ad2,2015-03-13 10:45:19-07:00,91,8608
same,ReverseFunctionTest.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518,ReverseFunction.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518
same,SkipRangeParallelIteratorRegionSplitterTest.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518,SkipRangeParallelIteratorRegionSplitter.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518
same,ToCharFunctionTest.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518,ToCharFunction.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518
same,ToNumberFunctionTest.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518,ToNumberFunction.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518
same,CoerceExpressionTest.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518,CoerceExpression.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518
same,ColumnExpressionTest.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518,ColumnExpression.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518
same,LikeExpressionTest.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518,LikeExpression.java,c5b802461fce2cc9ddd696ec28ebeb47b3bea674,2014-01-27 11:16:01-08:00,778,127518
