type,test_file,hash_test_creation,test_creation_time,test_commit_files,test_commit_lines,impl_file,hash_impl_creation,impl_creation_time,impl_commit_files,impl_commit_lines
before,PlcDriverManagerTest.java,395f87799ad712eaabaea08c033dea33dacb6ecb,2017-10-20 10:30:01+02:00,28,1237,PlcDriverManager.java,395f87799ad712eaabaea08c033dea33dacb6ecb,2017-10-20 10:30:01+02:00,28,1237
before,ProfinetPlcDriverTest.java,395f87799ad712eaabaea08c033dea33dacb6ecb,2017-10-20 10:30:01+02:00,28,1237,ProfinetPlcDriver.java,395f87799ad712eaabaea08c033dea33dacb6ecb,2017-10-20 10:30:01+02:00,28,1237
before,S7ComponentTest.java,1b44b951ab6f9c81d95dd9ed142e889a5f8c77b4,2017-11-24 16:06:57+01:00,13,391,S7Component.java,1b44b951ab6f9c81d95dd9ed142e889a5f8c77b4,2017-11-24 16:06:57+01:00,13,391
before,StreamUtilsTest.java,f8cb59b6a19ed4731791f3f49de276b17adccbf3,2017-11-30 09:58:52+01:00,3,55,StreamUtils.java,1b44b951ab6f9c81d95dd9ed142e889a5f8c77b4,2017-11-24 16:06:57+01:00,13,391
before,PlcFunctionsTest.java,b3c9ca96db51b7458bc7fa0c8c18077dc980b1d7,2017-11-30 14:25:57-05:00,2,162,PlcFunctions.java,e527943004949ec0414ef3b00f436344a946cf3b,2017-11-28 18:01:43-05:00,5,428
before,IsoOnTcpProtocolTest.java,6e4d93624a2dd4f06dde3ed73b6d275d9440b1cb,2017-12-12 22:00:04+01:00,7,271,IsoOnTcpProtocol.java,fa9615fe6ea6d50059ab2b81ad51cee04e9853e6,2017-11-26 10:14:52+01:00,69,2762
before,IsoTPProtocolTest.java,6e4d93624a2dd4f06dde3ed73b6d275d9440b1cb,2017-12-12 22:00:04+01:00,7,271,IsoTPProtocol.java,fa9615fe6ea6d50059ab2b81ad51cee04e9853e6,2017-11-26 10:14:52+01:00,69,2762
before,Plc4XS7ProtocolTest.java,6e4d93624a2dd4f06dde3ed73b6d275d9440b1cb,2017-12-12 22:00:04+01:00,7,271,Plc4XS7Protocol.java,fa9615fe6ea6d50059ab2b81ad51cee04e9853e6,2017-11-26 10:14:52+01:00,69,2762
before,S7ProtocolTest.java,6e4d93624a2dd4f06dde3ed73b6d275d9440b1cb,2017-12-12 22:00:04+01:00,7,271,S7Protocol.java,fa9615fe6ea6d50059ab2b81ad51cee04e9853e6,2017-11-26 10:14:52+01:00,69,2762
before,PlcUsernamePasswordAuthenticationTest.java,039677cc3b51178860e2e2b6f758557d3686dbba,2017-12-28 10:39:05+11:00,1,19,PlcUsernamePasswordAuthentication.java,395f87799ad712eaabaea08c033dea33dacb6ecb,2017-10-20 10:30:01+02:00,28,1237
