type,test_file,hash_test_creation,test_creation_time,test_commit_files,test_commit_lines,impl_file,hash_impl_creation,impl_creation_time,impl_commit_files,impl_commit_lines
before,TestNamespace.java,c2cfe7907320451b1aa99c55aa887f7aa1fbe8e2,2012-10-09 08:53:28-07:00,10,864,Namespace.java,c2cfe7907320451b1aa99c55aa887f7aa1fbe8e2,2012-10-09 08:53:28-07:00,10,864
before,TestTang.java,83aca287e8194cf73d54d296580dfc537dbb6697,2012-10-25 16:35:52-07:00,2,119,Tang.java,c2cfe7907320451b1aa99c55aa887f7aa1fbe8e2,2012-10-09 08:53:28-07:00,10,864
before,TestStaticConfiguration.java,af7afcb988f73738821111ed1ae57050a1165a38,2012-11-02 17:25:12-07:00,2,101,StaticConfiguration.java,af7afcb988f73738821111ed1ae57050a1165a38,2012-11-02 17:25:12-07:00,2,101
before,TestParameterParser.java,c3d1d1469469332f9fad1e9402c3ed7a8df489bf,2013-02-20 12:23:33-08:00,8,406,ParameterParser.java,c3d1d1469469332f9fad1e9402c3ed7a8df489bf,2013-02-20 12:23:33-08:00,8,406
before,TestExternalConstructor.java,8498c4fe1e802d6d06d98fe80bffb1885f9f33a4,2013-03-24 07:10:12-07:00,2,56,ExternalConstructor.java,fdc344e03a5ea3212b55706de4bcb88ce0ec78ee,2012-10-30 10:59:51-07:00,4,63
before,TestConfigurationModule.java,dc40a6e8a1cc361b419d6e84a3486a5bad8b629b,2013-06-27 18:18:14-07:00,1,73,ConfigurationModule.java,20cf6581e99c563f34ebffc5e7c72cae61c7ca06,2013-06-27 17:18:01-07:00,1,248
before,TestInjectionFuture.java,a7f9f903d72b58a76b03dab0a540cfd625cc5ac7,2013-07-09 12:15:44-07:00,9,287,InjectionFuture.java,38c923e51e4dec592cd06c329bfc733523c41083,2013-04-04 14:44:54-07:00,3,113
before,TestCommandLine.java,e4a40f1e4bad08e8602541cdf31a90d2515119ed,2013-11-05 11:28:58-08:00,2,31,CommandLine.java,5994e1efb964f70d37af7674e252075de3243a2c,2013-01-25 10:49:13-08:00,8,304
before,TestDriver.cs,9ae93d59dfbbc182a275a1043a522df21828bef1,2013-11-05 16:32:54-08:00,6,469,Driver.cs,17b344c2935ac0ab259365d2e51409fc65789d41,2018-10-12 10:36:41-07:00,175,11687
before,PhaserTest.java,1b6a77377c647c93cb8aa0ad6e23c4707fc7f869,2013-11-07 12:59:53-08:00,517,53712,Phaser.java,1b6a77377c647c93cb8aa0ad6e23c4707fc7f869,2013-11-07 12:59:53-08:00,517,53712
before,ClientManagerTest.java,1b6a77377c647c93cb8aa0ad6e23c4707fc7f869,2013-11-07 12:59:53-08:00,517,53712,ClientManager.java,1b6a77377c647c93cb8aa0ad6e23c4707fc7f869,2013-11-07 12:59:53-08:00,517,53712
before,OptionalTest.java,1b6a77377c647c93cb8aa0ad6e23c4707fc7f869,2013-11-07 12:59:53-08:00,517,53712,Optional.java,1b6a77377c647c93cb8aa0ad6e23c4707fc7f869,2013-11-07 12:59:53-08:00,517,53712
before,ObjectWritableCodecTest.java,1b6a77377c647c93cb8aa0ad6e23c4707fc7f869,2013-11-07 12:59:53-08:00,517,53712,ObjectWritableCodec.java,1b6a77377c647c93cb8aa0ad6e23c4707fc7f869,2013-11-07 12:59:53-08:00,517,53712
before,TestBroadcastPartitioner.java,1b6a77377c647c93cb8aa0ad6e23c4707fc7f869,2013-11-07 12:59:53-08:00,517,53712,BroadcastPartitioner.java,1b6a77377c647c93cb8aa0ad6e23c4707fc7f869,2013-11-07 12:59:53-08:00,517,53712
before,TestGrouper.java,1b6a77377c647c93cb8aa0ad6e23c4707fc7f869,2013-11-07 12:59:53-08:00,517,53712,Grouper.java,1b6a77377c647c93cb8aa0ad6e23c4707fc7f869,2013-11-07 12:59:53-08:00,517,53712
before,TestHashcodePartitioner.java,1b6a77377c647c93cb8aa0ad6e23c4707fc7f869,2013-11-07 12:59:53-08:00,517,53712,HashcodePartitioner.java,1b6a77377c647c93cb8aa0ad6e23c4707fc7f869,2013-11-07 12:59:53-08:00,517,53712
before,NameClientTest.java,1b6a77377c647c93cb8aa0ad6e23c4707fc7f869,2013-11-07 12:59:53-08:00,517,53712,NameClient.java,1b6a77377c647c93cb8aa0ad6e23c4707fc7f869,2013-11-07 12:59:53-08:00,517,53712
before,NamingTest.java,1b6a77377c647c93cb8aa0ad6e23c4707fc7f869,2013-11-07 12:59:53-08:00,517,53712,Naming.java,1b6a77377c647c93cb8aa0ad6e23c4707fc7f869,2013-11-07 12:59:53-08:00,517,53712
before,NetworkServiceTest.java,1b6a77377c647c93cb8aa0ad6e23c4707fc7f869,2013-11-07 12:59:53-08:00,517,53712,NetworkService.java,1b6a77377c647c93cb8aa0ad6e23c4707fc7f869,2013-11-07 12:59:53-08:00,517,53712
before,GCMCodecTest.java,1b6a77377c647c93cb8aa0ad6e23c4707fc7f869,2013-11-07 12:59:53-08:00,517,53712,GCMCodec.java,1b6a77377c647c93cb8aa0ad6e23c4707fc7f869,2013-11-07 12:59:53-08:00,517,53712
