type,test_file,hash_test_creation,test_creation_time,impl_file,hash_impl_creation,impl_creation_time
before,TestWordCounter.java,9d91adbdbde22e91779b91eb40805f598da5b004,2011-09-17 00:48:10-07:00,WordCounter.java,ac7f0afa442c0dd64d9d09052f8406beedf3b617,2014-02-14 02:30:34-05:00
before,TestWordSpout.java,9d91adbdbde22e91779b91eb40805f598da5b004,2011-09-17 00:48:10-07:00,WordSpout.java,ac7f0afa442c0dd64d9d09052f8406beedf3b617,2014-02-14 02:30:34-05:00
after,JmsSpoutTest.java,f5f176ea380e8924b8d0c2d979596e384d855577,2012-04-26 15:07:06-04:00,JmsSpout.java,40c2fad427fe7985836f072277f01f18e5efe70e,2011-11-11 00:09:57-05:00
same,IntermediateRankingsBoltTest.java,f5bdc720f50a0c46e90f0085c10217f2a6a3249f,2012-12-07 12:41:14+01:00,IntermediateRankingsBolt.java,f5bdc720f50a0c46e90f0085c10217f2a6a3249f,2012-12-07 12:41:14+01:00
same,RollingCountBoltTest.java,f5bdc720f50a0c46e90f0085c10217f2a6a3249f,2012-12-07 12:41:14+01:00,RollingCountBolt.java,f5bdc720f50a0c46e90f0085c10217f2a6a3249f,2012-12-07 12:41:14+01:00
same,TotalRankingsBoltTest.java,f5bdc720f50a0c46e90f0085c10217f2a6a3249f,2012-12-07 12:41:14+01:00,TotalRankingsBolt.java,f5bdc720f50a0c46e90f0085c10217f2a6a3249f,2012-12-07 12:41:14+01:00
same,NthLastModifiedTimeTrackerTest.java,f5bdc720f50a0c46e90f0085c10217f2a6a3249f,2012-12-07 12:41:14+01:00,NthLastModifiedTimeTracker.java,f5bdc720f50a0c46e90f0085c10217f2a6a3249f,2012-12-07 12:41:14+01:00
same,RankableObjectWithFieldsTest.java,f5bdc720f50a0c46e90f0085c10217f2a6a3249f,2012-12-07 12:41:14+01:00,RankableObjectWithFields.java,f5bdc720f50a0c46e90f0085c10217f2a6a3249f,2012-12-07 12:41:14+01:00
same,RankingsTest.java,f5bdc720f50a0c46e90f0085c10217f2a6a3249f,2012-12-07 12:41:14+01:00,Rankings.java,f5bdc720f50a0c46e90f0085c10217f2a6a3249f,2012-12-07 12:41:14+01:00
same,SlidingWindowCounterTest.java,f5bdc720f50a0c46e90f0085c10217f2a6a3249f,2012-12-07 12:41:14+01:00,SlidingWindowCounter.java,f5bdc720f50a0c46e90f0085c10217f2a6a3249f,2012-12-07 12:41:14+01:00
same,SlotBasedCounterTest.java,f5bdc720f50a0c46e90f0085c10217f2a6a3249f,2012-12-07 12:41:14+01:00,SlotBasedCounter.java,f5bdc720f50a0c46e90f0085c10217f2a6a3249f,2012-12-07 12:41:14+01:00
after,UtilsTest.java,330b8bd89b5bb288e14b304ee1cd69c29e6f5c9d,2013-02-16 23:24:18-06:00,Utils.java,9d91adbdbde22e91779b91eb40805f598da5b004,2011-09-17 00:48:10-07:00
