type,hash_test_creation,test_file,hash_test_impl,impl_file
same,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,TestMessageLogger.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,MessageLogger.java
same,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,TestMessageLoggerFactory.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,MessageLoggerFactory.java
same,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,GatewayFilterTest.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,GatewayFilter.java
before,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,GatewayConfigTest.java,43b754dd18c04d68ce5e7fd34997a5c49b7e7159,GatewayConfig.java
same,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,HtmlUrlRewritingOutputStreamTest.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,HtmlUrlRewritingOutputStream.java
same,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,MessagesTest.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,Messages.java
same,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,ResourcesTest.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,Resources.java
same,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,EmbeddedApacheDirectoryServerTest.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,EmbeddedApacheDirectoryServer.java
same,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,PathMapTest.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,PathMap.java
same,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,UrlRewriterTest.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,UrlRewriter.java
same,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,ExpanderTest.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,Expander.java
same,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,ExtractorTest.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,Extractor.java
same,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,ParserTest.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,Parser.java
same,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,RewriterTest.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,Rewriter.java
after,88d58477d2bbe6adea5a315c6b1bd833949ee57c,MatcherTest.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,Matcher.java
after,f1c242025e67b02917ab7a781875cf557622bf7c,SegmentTest.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,Segment.java
after,9bcc9a37a3cddf39e02acb92c4265a8f63bf93b5,TemplateTest.java,c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,Template.java
same,5dd00a0063bab4fc886895ebd73eefbbf0f63439,FileClusterTopologyProviderTest.java,5dd00a0063bab4fc886895ebd73eefbbf0f63439,FileClusterTopologyProvider.java
same,5dd00a0063bab4fc886895ebd73eefbbf0f63439,ClusterTopologyRulesModuleTest.java,5dd00a0063bab4fc886895ebd73eefbbf0f63439,ClusterTopologyRulesModule.java
after,a364e4523a35c819f7f3ea3900654c2ac56ab1ba,ClusterDescriptorTest.java,07be2d1261c3290160cbc32fbda22e9146648d54,ClusterDescriptor.java
after,a364e4523a35c819f7f3ea3900654c2ac56ab1ba,XmlClusterDescriptorExporterTest.java,07be2d1261c3290160cbc32fbda22e9146648d54,XmlClusterDescriptorExporter.java
after,a364e4523a35c819f7f3ea3900654c2ac56ab1ba,XmlClusterDescriptorImporterTest.java,07be2d1261c3290160cbc32fbda22e9146648d54,XmlClusterDescriptorImporter.java
after,44e4b761bc9a885bbc03f0ba60166bf3f8ee1838,ClusterDeploymentFactoryTest.java,07be2d1261c3290160cbc32fbda22e9146648d54,ClusterDeploymentFactory.java
after,0a46ee9e72814cd5cf468af0299d60deed9265e9,IdentityAssertionHttpServletRequestWrapperTest.java,8f1a5aaabec4aaef70cd049bb518d869247099cf,IdentityAssertionHttpServletRequestWrapper.java
same,01da3efdf8947616a9d23a572dd80927915f0cc4,PrincipalMapperTest.java,01da3efdf8947616a9d23a572dd80927915f0cc4,PrincipalMapper.java
same,6ba3d344ec1640e160479e2b1d2b2630eb50bdc7,UrlRewriteProcessorTest.java,6ba3d344ec1640e160479e2b1d2b2630eb50bdc7,UrlRewriteProcessor.java
same,6ba3d344ec1640e160479e2b1d2b2630eb50bdc7,UrlRewriteRulesDescriptorFactoryTest.java,6ba3d344ec1640e160479e2b1d2b2630eb50bdc7,UrlRewriteRulesDescriptorFactory.java
same,6ba3d344ec1640e160479e2b1d2b2630eb50bdc7,UrlRewriteServletContextListenerTest.java,6ba3d344ec1640e160479e2b1d2b2630eb50bdc7,UrlRewriteServletContextListener.java
same,6ba3d344ec1640e160479e2b1d2b2630eb50bdc7,UrlRewriteServletFilterTest.java,6ba3d344ec1640e160479e2b1d2b2630eb50bdc7,UrlRewriteServletFilter.java
same,6ba3d344ec1640e160479e2b1d2b2630eb50bdc7,JsonFilterReaderTest.java,6ba3d344ec1640e160479e2b1d2b2630eb50bdc7,JsonFilterReader.java
same,6ba3d344ec1640e160479e2b1d2b2630eb50bdc7,XmlFilterReaderTest.java,6ba3d344ec1640e160479e2b1d2b2630eb50bdc7,XmlFilterReader.java
same,6ba3d344ec1640e160479e2b1d2b2630eb50bdc7,XmlUrlRewriteRulesExporterTest.java,6ba3d344ec1640e160479e2b1d2b2630eb50bdc7,XmlUrlRewriteRulesExporter.java
same,6ba3d344ec1640e160479e2b1d2b2630eb50bdc7,HtmlFilterReaderTest.java,6ba3d344ec1640e160479e2b1d2b2630eb50bdc7,HtmlFilterReader.java
same,e29ffd9feab0a84afc53c80b5a63cbb9721b91a3,UrlRewriteActionQueryDecodeProcessorTest.java,e29ffd9feab0a84afc53c80b5a63cbb9721b91a3,UrlRewriteActionQueryDecodeProcessor.java
same,e29ffd9feab0a84afc53c80b5a63cbb9721b91a3,UrlRewriteActionQueryEncodeProcessorTest.java,e29ffd9feab0a84afc53c80b5a63cbb9721b91a3,UrlRewriteActionQueryEncodeProcessor.java
