hash,msg,files,lines,committer_date,modified_file,merge,branches
a0770bef59a2196651db30d2deccb37356f76ef1,Initial commit,3,217,2014-06-06 09:52:20+02:00,"[['.gitignore', 'ADD', None, '.gitignore'], ['LICENSE', 'ADD', None, 'LICENSE'], ['README.md', 'ADD', None, 'README.md']]",False,['master']
fb0d3affba4553eb462198cbf04ce82670c8dbe4,Update README.md,1,19,2014-06-06 09:59:31+02:00,"[['README.md', 'MODIFY', 'README.md', 'README.md']]",False,['master']
f04f617d795181d0898fd9c559217979628cda8f,Update README.md,1,4,2014-06-06 10:37:33+02:00,"[['README.md', 'MODIFY', 'README.md', 'README.md']]",False,['master']
5bc9abf0cc0ca9becd4db54d0628d8d449b988ac,Update README.md,1,4,2014-06-06 10:37:48+02:00,"[['README.md', 'MODIFY', 'README.md', 'README.md']]",False,['master']
ad69ff30854880ae8131c00fdbb514dc1ac60aff,Update README.md,1,2,2014-06-06 16:38:21+02:00,"[['README.md', 'MODIFY', 'README.md', 'README.md']]",False,['master']
911cb50de786fb5b36360945d3d79155f0f1e1db,Update README.md,1,1,2014-06-06 16:38:55+02:00,"[['README.md', 'MODIFY', 'README.md', 'README.md']]",False,['master']
26d448cc8b945bcfbf939e3198bf3210a75c4d2a,added maven project,3,76,2014-06-06 17:35:24+02:00,"[['.gitignore', 'MODIFY', '.gitignore', '.gitignore'], ['pom.xml', 'ADD', None, 'pom.xml'], ['App.java', 'ADD', None, 'src/main/java/org/apache/commons/App.java']]",False,['master']
dfd088ec728abca8793d7309df578049f7e980bc,starting to outline the basic rdf terms,10,159,2014-06-06 17:52:46+02:00,"[['.gitignore', 'MODIFY', '.gitignore', '.gitignore'], ['pom.xml', 'MODIFY', 'pom.xml', 'pom.xml'], ['App.java', 'DELETE', 'src/main/java/org/apache/commons/App.java', None], ['BlankNode.java', 'ADD', None, 'src/main/java/org/apache/commons/rdf/BlankNode.java'], ['IRI.java', 'ADD', None, 'src/main/java/org/apache/commons/rdf/IRI.java'], ['Literal.java', 'ADD', None, 'src/main/java/org/apache/commons/rdf/Literal.java'], ['Quad.java', 'ADD', None, 'src/main/java/org/apache/commons/rdf/Quad.java'], ['Resource.java', 'ADD', None, 'src/main/java/org/apache/commons/rdf/Resource.java'], ['Term.java', 'ADD', None, 'src/main/java/org/apache/commons/rdf/Term.java'], ['Triple.java', 'ADD', None, 'src/main/java/org/apache/commons/rdf/Triple.java']]",False,['master']
374531ab0c0903121e6af2003cc826296ecc4e52,Common parent of Triple and Quad,1,12,2014-06-06 20:33:39+01:00,"[['TermTuple.java', 'ADD', None, 'src/main/java/org/apache/commons/rdf/TermTuple.java']]",False,['master']
4d7a0317c86d3cf0aeea51f1d5596124086c593a,Treat Triple and Quad as separate.,2,19,2014-06-06 20:34:08+01:00,"[['Quad.java', 'MODIFY', 'src/main/java/org/apache/commons/rdf/Quad.java', 'src/main/java/org/apache/commons/rdf/Quad.java'], ['Triple.java', 'MODIFY', 'src/main/java/org/apache/commons/rdf/Triple.java', 'src/main/java/org/apache/commons/rdf/Triple.java']]",False,['master']
80aaa2bbd1de227f7f25d1a9228282bcbad2390d,Common parent of blank node and IRI,1,3,2014-06-06 20:34:35+01:00,"[['BlankNodeOrIRI.java', 'ADD', None, 'src/main/java/org/apache/commons/rdf/BlankNodeOrIRI.java']]",False,['master']
578b1e6daa11bbf2c28210d7a25e05491ec785ab,The three parts,1,5,2014-06-06 20:34:52+01:00,"[['Literal.java', 'MODIFY', 'src/main/java/org/apache/commons/rdf/Literal.java', 'src/main/java/org/apache/commons/rdf/Literal.java']]",False,['master']
34100eb72abf9b0c615305356ac34b40ad416e79,Create CONTRIBUTING.md,1,8,2014-06-06 20:43:16+01:00,"[['CONTRIBUTING.md', 'ADD', None, 'CONTRIBUTING.md']]",False,['master']
b2166b7ee4b45a0a146ff4221ccf1a5dfc5932d1,Update CONTRIBUTING.md,1,3,2014-06-06 20:43:42+01:00,"[['CONTRIBUTING.md', 'MODIFY', 'CONTRIBUTING.md', 'CONTRIBUTING.md']]",False,['master']
4a2929f8bcf1c54b5795ff9dbafb2d5a759b5c66,Remove TermTuple. asTriple -> toTriple,2,19,2014-06-10 09:27:52+01:00,"[['Quad.java', 'MODIFY', 'src/main/java/org/apache/commons/rdf/Quad.java', 'src/main/java/org/apache/commons/rdf/Quad.java'], ['TermTuple.java', 'DELETE', 'src/main/java/org/apache/commons/rdf/TermTuple.java', None]]",False,['master']
343429f1f86786cbb0503bce72c3f1f21909d5f0,Use Optional<> for Literal.getLanguageTag,1,2,2014-06-10 09:43:33+01:00,"[['Literal.java', 'MODIFY', 'src/main/java/org/apache/commons/rdf/Literal.java', 'src/main/java/org/apache/commons/rdf/Literal.java']]",False,['master']
