hash,msg,files,lines,committer_date,modified_file,merge,branches
c0495bf24168a6d5d06ede4d199c28bdd351ae86,"Initial commit.

Maven project setup.
Source code and unit tests (mostly copied from Commons Math ""o.a.c.math4.rng"" package).
Userguide (to be completed).",154,116552,2016-08-07 23:44:22+02:00,"[['.gitignore', 'ADD', None, '.gitignore'], ['CONTRIBUTING.md', 'ADD', None, 'CONTRIBUTING.md'], ['LICENSE.txt', 'ADD', None, 'LICENSE.txt'], ['NOTICE.txt', 'ADD', None, 'NOTICE.txt'], ['README.md', 'ADD', None, 'README.md'], ['RELEASE-NOTES.txt', 'ADD', 'RELEASE-NOTES.txt', 'RELEASE-NOTES.txt'], ['checkstyle.xml', 'ADD', None, 'checkstyle.xml'], ['clirr-ignored.xml', 'ADD', None, 'clirr-ignored.xml'], ['development.howto.txt', 'ADD', None, 'doc/development/development.howto.txt'], ['release.howto.txt', 'ADD', None, 'doc/release/release.howto.txt'], ['settings-security.xml', 'ADD', None, 'doc/release/settings-security.xml'], ['settings.xml', 'ADD', None, 'doc/release/settings.xml'], ['findbugs-exclude-filter.xml', 'ADD', None, 'findbugs-exclude-filter.xml'], ['license-header.txt', 'ADD', None, 'license-header.txt'], ['pmd-ruleset.xml', 'ADD', None, 'pmd-ruleset.xml'], ['pom.xml', 'ADD', None, 'pom.xml'], ['site.css', 'ADD', None, 'siteMods/site.css'], ['bin.xml', 'ADD', None, 'src/assembly/bin.xml'], ['src.xml', 'ADD', None, 'src/assembly/src.xml'], ['changes.xml', 'ADD', None, 'src/changes/changes.xml'], ['release-notes.vm', 'ADD', None, 'src/changes/release-notes.vm'], ['RandomSource.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/RandomSource.java'], ['UniformRandomProvider.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/UniformRandomProvider.java'], ['BaseProvider.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/internal/BaseProvider.java'], ['ProviderBuilder.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/internal/ProviderBuilder.java'], ['StateSettable.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/internal/StateSettable.java'], ['package-info.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/internal/package-info.java'], ['AbstractWell.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/internal/source32/AbstractWell.java'], ['ISAACRandom.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/internal/source32/ISAACRandom.java'], ['IntProvider.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/internal/source32/IntProvider.java'], ['JDKRandom.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/internal/source32/JDKRandom.java'], ['MersenneTwister.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/internal/source32/MersenneTwister.java'], ['RandomIntSource.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/internal/source32/RandomIntSource.java'], ['Well1024a.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/internal/source32/Well1024a.java'], ['Well19937a.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/internal/source32/Well19937a.java'], ['Well19937c.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/internal/source32/Well19937c.java'], ['Well44497a.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/internal/source32/Well44497a.java'], ['Well44497b.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/internal/source32/Well44497b.java'], ['Well512a.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/internal/source32/Well512a.java'], ['package-info.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/internal/source32/package-info.java'], ['LongProvider.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/internal/source64/LongProvider.java'], ['MersenneTwister64.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/internal/source64/MersenneTwister64.java'], ['RandomLongSource.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/internal/source64/RandomLongSource.java'], ['SplitMix64.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/internal/source64/SplitMix64.java'], ['TwoCmres.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/internal/source64/TwoCmres.java'], ['XorShift1024Star.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/internal/source64/XorShift1024Star.java'], ['package-info.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/internal/source64/package-info.java'], ['Int2Long.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/internal/util/Int2Long.java'], ['IntArray2Int.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/internal/util/IntArray2Int.java'], ['IntArray2LongArray.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/internal/util/IntArray2LongArray.java'], ['Long2Int.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/internal/util/Long2Int.java'], ['Long2IntArray.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/internal/util/Long2IntArray.java'], ['Long2LongArray.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/internal/util/Long2LongArray.java'], ['LongArray2IntArray.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/internal/util/LongArray2IntArray.java'], ['LongArray2Long.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/internal/util/LongArray2Long.java'], ['LongMixInt.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/internal/util/LongMixInt.java'], ['LongMixLong.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/internal/util/LongMixLong.java'], ['NoOpConverter.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/internal/util/NoOpConverter.java'], ['NumberFactory.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/internal/util/NumberFactory.java'], ['SeedConverter.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/internal/util/SeedConverter.java'], ['SeedConverterComposer.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/internal/util/SeedConverterComposer.java'], ['SeedFactory.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/internal/util/SeedFactory.java'], ['package-info.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/internal/util/package-info.java'], ['package-info.java', 'ADD', None, 'src/main/java/org/apache/commons/rng/package-info.java'], ['rng.apt', 'ADD', None, 'src/site/apt/userguide/rng.apt'], ['commons_rng.png', 'ADD', 'src/site/resources/images/commons_rng.png', 'src/site/resources/images/commons_rng.png'], ['profile.jacoco', 'ADD', None, 'src/site/resources/profile.jacoco'], ['project.css', 'ADD', None, 'src/site/resources/style/project.css'], ['dh_1', 'ADD', None, 'src/site/resources/txt/userguide/stress/dh/run_1/dh_1'], ['dh_10', 'ADD', None, 'src/site/resources/txt/userguide/stress/dh/run_1/dh_10'], ['dh_11', 'ADD', None, 'src/site/resources/txt/userguide/stress/dh/run_1/dh_11'], ['dh_12', 'ADD', None, 'src/site/resources/txt/userguide/stress/dh/run_1/dh_12'], ['dh_13', 'ADD', None, 'src/site/resources/txt/userguide/stress/dh/run_1/dh_13'], ['dh_2', 'ADD', None, 'src/site/resources/txt/userguide/stress/dh/run_1/dh_2'], ['dh_3', 'ADD', None, 'src/site/resources/txt/userguide/stress/dh/run_1/dh_3'], ['dh_4', 'ADD', None, 'src/site/resources/txt/userguide/stress/dh/run_1/dh_4'], ['dh_5', 'ADD', None, 'src/site/resources/txt/userguide/stress/dh/run_1/dh_5'], ['dh_6', 'ADD', None, 'src/site/resources/txt/userguide/stress/dh/run_1/dh_6'], ['dh_7', 'ADD', None, 'src/site/resources/txt/userguide/stress/dh/run_1/dh_7'], ['dh_8', 'ADD', None, 'src/site/resources/txt/userguide/stress/dh/run_1/dh_8'], ['dh_9', 'ADD', None, 'src/site/resources/txt/userguide/stress/dh/run_1/dh_9'], ['dh_1', 'ADD', None, 'src/site/resources/txt/userguide/stress/dh/run_2/dh_1'], ['dh_10', 'ADD', None, 'src/site/resources/txt/userguide/stress/dh/run_2/dh_10'], ['dh_11', 'ADD', None, 'src/site/resources/txt/userguide/stress/dh/run_2/dh_11'], ['dh_12', 'ADD', None, 'src/site/resources/txt/userguide/stress/dh/run_2/dh_12'], ['dh_13', 'ADD', None, 'src/site/resources/txt/userguide/stress/dh/run_2/dh_13'], ['dh_2', 'ADD', None, 'src/site/resources/txt/userguide/stress/dh/run_2/dh_2'], ['dh_3', 'ADD', None, 'src/site/resources/txt/userguide/stress/dh/run_2/dh_3'], ['dh_4', 'ADD', None, 'src/site/resources/txt/userguide/stress/dh/run_2/dh_4'], ['dh_5', 'ADD', None, 'src/site/resources/txt/userguide/stress/dh/run_2/dh_5'], ['dh_6', 'ADD', None, 'src/site/resources/txt/userguide/stress/dh/run_2/dh_6'], ['dh_7', 'ADD', None, 'src/site/resources/txt/userguide/stress/dh/run_2/dh_7'], ['dh_8', 'ADD', None, 'src/site/resources/txt/userguide/stress/dh/run_2/dh_8'], ['dh_9', 'ADD', None, 'src/site/resources/txt/userguide/stress/dh/run_2/dh_9'], ['tu_1', 'ADD', None, 'src/site/resources/txt/userguide/stress/tu/run_1/tu_1'], ['tu_10', 'ADD', None, 'src/site/resources/txt/userguide/stress/tu/run_1/tu_10'], ['tu_11', 'ADD', None, 'src/site/resources/txt/userguide/stress/tu/run_1/tu_11'], ['tu_12', 'ADD', None, 'src/site/resources/txt/userguide/stress/tu/run_1/tu_12'], ['tu_13', 'ADD', None, 'src/site/resources/txt/userguide/stress/tu/run_1/tu_13'], ['tu_2', 'ADD', None, 'src/site/resources/txt/userguide/stress/tu/run_1/tu_2'], ['tu_3', 'ADD', None, 'src/site/resources/txt/userguide/stress/tu/run_1/tu_3'], ['tu_4', 'ADD', None, 'src/site/resources/txt/userguide/stress/tu/run_1/tu_4'], ['tu_5', 'ADD', None, 'src/site/resources/txt/userguide/stress/tu/run_1/tu_5'], ['tu_6', 'ADD', None, 'src/site/resources/txt/userguide/stress/tu/run_1/tu_6'], ['tu_7', 'ADD', None, 'src/site/resources/txt/userguide/stress/tu/run_1/tu_7'], ['tu_8', 'ADD', None, 'src/site/resources/txt/userguide/stress/tu/run_1/tu_8'], ['tu_9', 'ADD', None, 'src/site/resources/txt/userguide/stress/tu/run_1/tu_9'], ['tu_1', 'ADD', None, 'src/site/resources/txt/userguide/stress/tu/run_2/tu_1'], ['tu_10', 'ADD', None, 'src/site/resources/txt/userguide/stress/tu/run_2/tu_10'], ['tu_11', 'ADD', None, 'src/site/resources/txt/userguide/stress/tu/run_2/tu_11'], ['tu_12', 'ADD', None, 'src/site/resources/txt/userguide/stress/tu/run_2/tu_12'], ['tu_13', 'ADD', None, 'src/site/resources/txt/userguide/stress/tu/run_2/tu_13'], ['tu_2', 'ADD', None, 'src/site/resources/txt/userguide/stress/tu/run_2/tu_2'], ['tu_3', 'ADD', None, 'src/site/resources/txt/userguide/stress/tu/run_2/tu_3'], ['tu_4', 'ADD', None, 'src/site/resources/txt/userguide/stress/tu/run_2/tu_4'], ['tu_5', 'ADD', None, 'src/site/resources/txt/userguide/stress/tu/run_2/tu_5'], ['tu_6', 'ADD', None, 'src/site/resources/txt/userguide/stress/tu/run_2/tu_6'], ['tu_7', 'ADD', None, 'src/site/resources/txt/userguide/stress/tu/run_2/tu_7'], ['tu_8', 'ADD', None, 'src/site/resources/txt/userguide/stress/tu/run_2/tu_8'], ['tu_9', 'ADD', None, 'src/site/resources/txt/userguide/stress/tu/run_2/tu_9'], ['site.xml', 'ADD', None, 'src/site/site.xml'], ['developers.xml', 'ADD', None, 'src/site/xdoc/developers.xml'], ['download_rng.xml', 'ADD', None, 'src/site/xdoc/download_rng.xml'], ['index.xml', 'ADD', None, 'src/site/xdoc/index.xml'], ['issue-tracking.xml', 'ADD', None, 'src/site/xdoc/issue-tracking.xml'], ['mail-lists.xml', 'ADD', None, 'src/site/xdoc/mail-lists.xml'], ['index.xml', 'ADD', None, 'src/site/xdoc/userguide/index.xml'], ['xdoc.xsl', 'ADD', None, 'src/site/xdoc/userguide/xdoc.xsl'], ['Providers32ParametricTest.java', 'ADD', None, 'src/test/java/org/apache/commons/rng/Providers32ParametricTest.java'], ['Providers64ParametricTest.java', 'ADD', None, 'src/test/java/org/apache/commons/rng/Providers64ParametricTest.java'], ['ProvidersCommonParametricTest.java', 'ADD', None, 'src/test/java/org/apache/commons/rng/ProvidersCommonParametricTest.java'], ['ProvidersList.java', 'ADD', None, 'src/test/java/org/apache/commons/rng/ProvidersList.java'], ['ISAACRandomTest.java', 'ADD', None, 'src/test/java/org/apache/commons/rng/internal/source32/ISAACRandomTest.java'], ['JDKRandomTest.java', 'ADD', None, 'src/test/java/org/apache/commons/rng/internal/source32/JDKRandomTest.java'], ['MersenneTwisterTest.java', 'ADD', None, 'src/test/java/org/apache/commons/rng/internal/source32/MersenneTwisterTest.java'], ['Well1024aTest.java', 'ADD', None, 'src/test/java/org/apache/commons/rng/internal/source32/Well1024aTest.java'], ['Well19937aTest.java', 'ADD', None, 'src/test/java/org/apache/commons/rng/internal/source32/Well19937aTest.java'], ['Well19937cTest.java', 'ADD', None, 'src/test/java/org/apache/commons/rng/internal/source32/Well19937cTest.java'], ['Well44497aTest.java', 'ADD', None, 'src/test/java/org/apache/commons/rng/internal/source32/Well44497aTest.java'], ['Well44497bTest.java', 'ADD', None, 'src/test/java/org/apache/commons/rng/internal/source32/Well44497bTest.java'], ['Well512aTest.java', 'ADD', None, 'src/test/java/org/apache/commons/rng/internal/source32/Well512aTest.java'], ['MersenneTwister64Test.java', 'ADD', None, 'src/test/java/org/apache/commons/rng/internal/source64/MersenneTwister64Test.java'], ['SplitMix64Test.java', 'ADD', None, 'src/test/java/org/apache/commons/rng/internal/source64/SplitMix64Test.java'], ['TwoCmresTest.java', 'ADD', None, 'src/test/java/org/apache/commons/rng/internal/source64/TwoCmresTest.java'], ['XorShift1024StarTest.java', 'ADD', None, 'src/test/java/org/apache/commons/rng/internal/source64/XorShift1024StarTest.java'], ['NumberFactoryTest.java', 'ADD', None, 'src/test/java/org/apache/commons/rng/internal/util/NumberFactoryTest.java'], ['SeedFactoryTest.java', 'ADD', None, 'src/test/java/org/apache/commons/rng/internal/util/SeedFactoryTest.java'], ['README', 'ADD', None, 'src/userguide/README'], ['stdin2testu01.c', 'ADD', None, 'src/userguide/c/rng/stdin2testu01.c'], ['GeneratorsList.java', 'ADD', None, 'src/userguide/java/org/apache/commons/rng/userguide/GeneratorsList.java'], ['RandomNumberGeneratorBenchmark.java', 'ADD', None, 'src/userguide/java/org/apache/commons/rng/userguide/RandomNumberGeneratorBenchmark.java'], ['RandomStressTester.java', 'ADD', None, 'src/userguide/java/org/apache/commons/rng/userguide/RandomStressTester.java'], ['TwoCmresGeneratorsList.java', 'ADD', None, 'src/userguide/java/org/apache/commons/rng/userguide/TwoCmresGeneratorsList.java'], ['pom.xml', 'ADD', None, 'src/userguide/pom.xml']]",False,['master']
57d32fb185248cfb7447db5537e93d299b095407,Fix references and dependencies.,5,396,2016-08-08 00:23:00+02:00,"[['GeneratorsList.java', 'MODIFY', 'src/userguide/java/org/apache/commons/rng/userguide/GeneratorsList.java', 'src/userguide/java/org/apache/commons/rng/userguide/GeneratorsList.java'], ['RandomNumberGeneratorBenchmark.java', 'DELETE', 'src/userguide/java/org/apache/commons/rng/userguide/RandomNumberGeneratorBenchmark.java', None], ['RandomStressTester.java', 'MODIFY', 'src/userguide/java/org/apache/commons/rng/userguide/RandomStressTester.java', 'src/userguide/java/org/apache/commons/rng/userguide/RandomStressTester.java'], ['TwoCmresGeneratorsList.java', 'DELETE', 'src/userguide/java/org/apache/commons/rng/userguide/TwoCmresGeneratorsList.java', None], ['pom.xml', 'MODIFY', 'src/userguide/pom.xml', 'src/userguide/pom.xml']]",False,['master']
afc30637542aa7442f42f4659deb60680b5f7a17,Fix links.,2,31,2016-08-08 03:51:59+02:00,"[['rng.apt', 'MODIFY', 'src/site/apt/userguide/rng.apt', 'src/site/apt/userguide/rng.apt'], ['site.xml', 'MODIFY', 'src/site/site.xml', 'src/site/site.xml']]",False,['master']
66ab14307ddedf020bf3212d336c77648665f9b4,"Fix ""@since <version>"" lines.",32,64,2016-08-08 01:58:53+02:00,"[['RandomSource.java', 'MODIFY', 'src/main/java/org/apache/commons/rng/RandomSource.java', 'src/main/java/org/apache/commons/rng/RandomSource.java'], ['UniformRandomProvider.java', 'MODIFY', 'src/main/java/org/apache/commons/rng/UniformRandomProvider.java', 'src/main/java/org/apache/commons/rng/UniformRandomProvider.java'], ['StateSettable.java', 'MODIFY', 'src/main/java/org/apache/commons/rng/internal/StateSettable.java', 'src/main/java/org/apache/commons/rng/internal/StateSettable.java'], ['AbstractWell.java', 'MODIFY', 'src/main/java/org/apache/commons/rng/internal/source32/AbstractWell.java', 'src/main/java/org/apache/commons/rng/internal/source32/AbstractWell.java'], ['ISAACRandom.java', 'MODIFY', 'src/main/java/org/apache/commons/rng/internal/source32/ISAACRandom.java', 'src/main/java/org/apache/commons/rng/internal/source32/ISAACRandom.java'], ['JDKRandom.java', 'MODIFY', 'src/main/java/org/apache/commons/rng/internal/source32/JDKRandom.java', 'src/main/java/org/apache/commons/rng/internal/source32/JDKRandom.java'], ['MersenneTwister.java', 'MODIFY', 'src/main/java/org/apache/commons/rng/internal/source32/MersenneTwister.java', 'src/main/java/org/apache/commons/rng/internal/source32/MersenneTwister.java'], ['RandomIntSource.java', 'MODIFY', 'src/main/java/org/apache/commons/rng/internal/source32/RandomIntSource.java', 'src/main/java/org/apache/commons/rng/internal/source32/RandomIntSource.java'], ['Well1024a.java', 'MODIFY', 'src/main/java/org/apache/commons/rng/internal/source32/Well1024a.java', 'src/main/java/org/apache/commons/rng/internal/source32/Well1024a.java'], ['Well19937a.java', 'MODIFY', 'src/main/java/org/apache/commons/rng/internal/source32/Well19937a.java', 'src/main/java/org/apache/commons/rng/internal/source32/Well19937a.java'], ['Well44497a.java', 'MODIFY', 'src/main/java/org/apache/commons/rng/internal/source32/Well44497a.java', 'src/main/java/org/apache/commons/rng/internal/source32/Well44497a.java'], ['Well44497b.java', 'MODIFY', 'src/main/java/org/apache/commons/rng/internal/source32/Well44497b.java', 'src/main/java/org/apache/commons/rng/internal/source32/Well44497b.java'], ['Well512a.java', 'MODIFY', 'src/main/java/org/apache/commons/rng/internal/source32/Well512a.java', 'src/main/java/org/apache/commons/rng/internal/source32/Well512a.java'], ['MersenneTwister64.java', 'MODIFY', 'src/main/java/org/apache/commons/rng/internal/source64/MersenneTwister64.java', 'src/main/java/org/apache/commons/rng/internal/source64/MersenneTwister64.java'], ['RandomLongSource.java', 'MODIFY', 'src/main/java/org/apache/commons/rng/internal/source64/RandomLongSource.java', 'src/main/java/org/apache/commons/rng/internal/source64/RandomLongSource.java'], ['SplitMix64.java', 'MODIFY', 'src/main/java/org/apache/commons/rng/internal/source64/SplitMix64.java', 'src/main/java/org/apache/commons/rng/internal/source64/SplitMix64.java'], ['TwoCmres.java', 'MODIFY', 'src/main/java/org/apache/commons/rng/internal/source64/TwoCmres.java', 'src/main/java/org/apache/commons/rng/internal/source64/TwoCmres.java'], ['XorShift1024Star.java', 'MODIFY', 'src/main/java/org/apache/commons/rng/internal/source64/XorShift1024Star.java', 'src/main/java/org/apache/commons/rng/internal/source64/XorShift1024Star.java'], ['Int2Long.java', 'MODIFY', 'src/main/java/org/apache/commons/rng/internal/util/Int2Long.java', 'src/main/java/org/apache/commons/rng/internal/util/Int2Long.java'], ['IntArray2Int.java', 'MODIFY', 'src/main/java/org/apache/commons/rng/internal/util/IntArray2Int.java', 'src/main/java/org/apache/commons/rng/internal/util/IntArray2Int.java'], ['IntArray2LongArray.java', 'MODIFY', 'src/main/java/org/apache/commons/rng/internal/util/IntArray2LongArray.java', 'src/main/java/org/apache/commons/rng/internal/util/IntArray2LongArray.java'], ['Long2Int.java', 'MODIFY', 'src/main/java/org/apache/commons/rng/internal/util/Long2Int.java', 'src/main/java/org/apache/commons/rng/internal/util/Long2Int.java'], ['Long2IntArray.java', 'MODIFY', 'src/main/java/org/apache/commons/rng/internal/util/Long2IntArray.java', 'src/main/java/org/apache/commons/rng/internal/util/Long2IntArray.java'], ['Long2LongArray.java', 'MODIFY', 'src/main/java/org/apache/commons/rng/internal/util/Long2LongArray.java', 'src/main/java/org/apache/commons/rng/internal/util/Long2LongArray.java'], ['LongArray2IntArray.java', 'MODIFY', 'src/main/java/org/apache/commons/rng/internal/util/LongArray2IntArray.java', 'src/main/java/org/apache/commons/rng/internal/util/LongArray2IntArray.java'], ['LongArray2Long.java', 'MODIFY', 'src/main/java/org/apache/commons/rng/internal/util/LongArray2Long.java', 'src/main/java/org/apache/commons/rng/internal/util/LongArray2Long.java'], ['LongMixInt.java', 'MODIFY', 'src/main/java/org/apache/commons/rng/internal/util/LongMixInt.java', 'src/main/java/org/apache/commons/rng/internal/util/LongMixInt.java'], ['LongMixLong.java', 'MODIFY', 'src/main/java/org/apache/commons/rng/internal/util/LongMixLong.java', 'src/main/java/org/apache/commons/rng/internal/util/LongMixLong.java'], ['NoOpConverter.java', 'MODIFY', 'src/main/java/org/apache/commons/rng/internal/util/NoOpConverter.java', 'src/main/java/org/apache/commons/rng/internal/util/NoOpConverter.java'], ['SeedConverter.java', 'MODIFY', 'src/main/java/org/apache/commons/rng/internal/util/SeedConverter.java', 'src/main/java/org/apache/commons/rng/internal/util/SeedConverter.java'], ['SeedConverterComposer.java', 'MODIFY', 'src/main/java/org/apache/commons/rng/internal/util/SeedConverterComposer.java', 'src/main/java/org/apache/commons/rng/internal/util/SeedConverterComposer.java'], ['SeedFactory.java', 'MODIFY', 'src/main/java/org/apache/commons/rng/internal/util/SeedFactory.java', 'src/main/java/org/apache/commons/rng/internal/util/SeedFactory.java']]",False,['master']
30b35845df4c0676f555fd9c3cb7d0ec8b175b20,Make escape sequences appear literally in explanation of MathJax.,1,21,2016-08-08 04:40:10+02:00,"[['developers.xml', 'MODIFY', 'src/site/xdoc/developers.xml', 'src/site/xdoc/developers.xml']]",False,['master']
4e458303a1edef3a89dafe1346e1a8013d3e7bff,Typo.,1,2,2016-08-08 18:23:37+02:00,"[['index.xml', 'MODIFY', 'src/site/xdoc/index.xml', 'src/site/xdoc/index.xml']]",False,['master']
bb0886f84ba23032306c6376987f92ce653f181d,"Make codebase Java 5 compatible.

The public API is comprised of 1 enum (with factory methods) and 2 interfaces.
The ""internal"" classes would not gain tremendously from more recent programming constructs (cf. changes in this commit).
Additional RNG implementations would be mostly low-level code (e.g. bit manipulation) also unlikely to be dependent on a modern JDK.

If and when considered, higher level utilities (e.g. ""Stream""-based) could be implemented in another module, with more stringent requirements.",3,28,2016-08-09 16:02:08+02:00,"[['pom.xml', 'MODIFY', 'pom.xml', 'pom.xml'], ['ProviderBuilder.java', 'MODIFY', 'src/main/java/org/apache/commons/rng/internal/ProviderBuilder.java', 'src/main/java/org/apache/commons/rng/internal/ProviderBuilder.java'], ['JDKRandom.java', 'MODIFY', 'src/main/java/org/apache/commons/rng/internal/source32/JDKRandom.java', 'src/main/java/org/apache/commons/rng/internal/source32/JDKRandom.java']]",False,['master']
38be2c4c42802796c8e576f8608107582bbd045b,"Forgotten uses of ""diamond"" operator (requires Java 7).",2,14,2016-08-09 18:54:42+02:00,"[['ProvidersList.java', 'MODIFY', 'src/test/java/org/apache/commons/rng/ProvidersList.java', 'src/test/java/org/apache/commons/rng/ProvidersList.java'], ['SeedFactoryTest.java', 'MODIFY', 'src/test/java/org/apache/commons/rng/internal/util/SeedFactoryTest.java', 'src/test/java/org/apache/commons/rng/internal/util/SeedFactoryTest.java']]",False,['master']
ed083eaf22c4c8403660c48bee7945d40edee6d9,"Bumped JDK dependency to Java 6 (due to ""Arrays.copyOf"").

Unlikely to loose many potential users w.r.t. Java 5.",3,8,2016-08-09 19:03:39+02:00,"[['pom.xml', 'MODIFY', 'pom.xml', 'pom.xml'], ['rng.apt', 'MODIFY', 'src/site/apt/userguide/rng.apt', 'src/site/apt/userguide/rng.apt'], ['download_rng.xml', 'MODIFY', 'src/site/xdoc/download_rng.xml', 'src/site/xdoc/download_rng.xml']]",False,['master']
883b17fe9759ffd34e145558c6aa6ddb15f6f6c8,"JMH benchmarking enabled in ""pom.xml"".

Thanks to Artem Barger.",1,68,2016-08-09 22:45:40+02:00,"[['pom.xml', 'MODIFY', 'pom.xml', 'pom.xml']]",False,['master']
