hash,msg,files,lines,committer_date,modified_file,merge,branches
bb864a05b0a6a90c8701d913256e2004ed0ae628,"Create POM file (adapted from ""Commons RNG"").",1,542,2018-01-03 02:57:38+01:00,"[['pom.xml', 'ADD', None, 'pom.xml']]",False,['master']
585178f823ac8f0df41a0f727a8301b21084c3f1,"New project: use Java 8.

Initial versions will probably be ""beta"" (0.x).",1,6,2018-01-19 17:10:38+01:00,"[['pom.xml', 'MODIFY', 'pom.xml', 'pom.xml']]",False,['master']
9c794a15f75aafbe9d2ab4b62b7e43e1c32e7501,"STATISTICS-2: Migrate ""o.a.c.math4.distribution"" from Commons Math.

""IntegerDistribution"" was renamed ""DiscreteDistribution"".
""RealDistribution"" was renamed ""ContinuousDistribution"".

All exceptions are instances of ""DistributionException"" (package-private).

Solver code (used by method ""inverseCumulativeProbability"") is a private
static inner class in ""AbstractContinuousDistribution"".
Tolerances are hard-coded. [Constructors that specified a tolerance were
removed.]

Calls to ""FastMath"" were replaced by calls to JDK ""Math"".  This has led to
two unit tests failing in ""GammaDistributionTest"" for which the tolerance
had to be slightly increased. [The main source indicates which calls to
""Math"" methods are responsible for the failures at the original tolerance.]",76,24960,2018-01-21 14:41:03+01:00,"[['LICENSE.txt', 'ADD', None, 'commons-statistics-distribution/LICENSE.txt'], ['NOTICE.txt', 'ADD', None, 'commons-statistics-distribution/NOTICE.txt'], ['pom.xml', 'ADD', None, 'commons-statistics-distribution/pom.xml'], ['AbstractContinuousDistribution.java', 'ADD', None, 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/AbstractContinuousDistribution.java'], ['AbstractDiscreteDistribution.java', 'ADD', None, 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/AbstractDiscreteDistribution.java'], ['BetaDistribution.java', 'ADD', None, 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/BetaDistribution.java'], ['BinomialDistribution.java', 'ADD', None, 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/BinomialDistribution.java'], ['CauchyDistribution.java', 'ADD', None, 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/CauchyDistribution.java'], ['ChiSquaredDistribution.java', 'ADD', None, 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/ChiSquaredDistribution.java'], ['ConstantContinuousDistribution.java', 'ADD', None, 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/ConstantContinuousDistribution.java'], ['ContinuousDistribution.java', 'ADD', None, 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/ContinuousDistribution.java'], ['DiscreteDistribution.java', 'ADD', None, 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/DiscreteDistribution.java'], ['DistributionException.java', 'ADD', None, 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/DistributionException.java'], ['ExponentialDistribution.java', 'ADD', None, 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/ExponentialDistribution.java'], ['FDistribution.java', 'ADD', None, 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/FDistribution.java'], ['GammaDistribution.java', 'ADD', None, 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/GammaDistribution.java'], ['GeometricDistribution.java', 'ADD', None, 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/GeometricDistribution.java'], ['GumbelDistribution.java', 'ADD', None, 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/GumbelDistribution.java'], ['HypergeometricDistribution.java', 'ADD', None, 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/HypergeometricDistribution.java'], ['LaplaceDistribution.java', 'ADD', None, 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/LaplaceDistribution.java'], ['LevyDistribution.java', 'ADD', None, 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/LevyDistribution.java'], ['LogNormalDistribution.java', 'ADD', None, 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/LogNormalDistribution.java'], ['LogisticDistribution.java', 'ADD', None, 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/LogisticDistribution.java'], ['NakagamiDistribution.java', 'ADD', None, 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/NakagamiDistribution.java'], ['NormalDistribution.java', 'ADD', None, 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/NormalDistribution.java'], ['ParetoDistribution.java', 'ADD', None, 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/ParetoDistribution.java'], ['PascalDistribution.java', 'ADD', None, 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/PascalDistribution.java'], ['PoissonDistribution.java', 'ADD', None, 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/PoissonDistribution.java'], ['SaddlePointExpansion.java', 'ADD', None, 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/SaddlePointExpansion.java'], ['TDistribution.java', 'ADD', None, 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/TDistribution.java'], ['TriangularDistribution.java', 'ADD', None, 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/TriangularDistribution.java'], ['UniformContinuousDistribution.java', 'ADD', None, 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/UniformContinuousDistribution.java'], ['UniformDiscreteDistribution.java', 'ADD', None, 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/UniformDiscreteDistribution.java'], ['WeibullDistribution.java', 'ADD', None, 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/WeibullDistribution.java'], ['ZipfDistribution.java', 'ADD', None, 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/ZipfDistribution.java'], ['package-info.java', 'ADD', None, 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/package-info.java'], ['AbstractContinuousDistributionTest.java', 'ADD', None, 'commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/AbstractContinuousDistributionTest.java'], ['AbstractDiscreteDistributionTest.java', 'ADD', None, 'commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/AbstractDiscreteDistributionTest.java'], ['BetaDistributionTest.java', 'ADD', None, 'commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/BetaDistributionTest.java'], ['BinomialDistributionTest.java', 'ADD', None, 'commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/BinomialDistributionTest.java'], ['CauchyDistributionTest.java', 'ADD', None, 'commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/CauchyDistributionTest.java'], ['ChiSquaredDistributionTest.java', 'ADD', None, 'commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/ChiSquaredDistributionTest.java'], ['ConstantContinuousDistributionTest.java', 'ADD', None, 'commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/ConstantContinuousDistributionTest.java'], ['ContinuousDistributionAbstractTest.java', 'ADD', None, 'commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/ContinuousDistributionAbstractTest.java'], ['DiscreteDistributionAbstractTest.java', 'ADD', None, 'commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/DiscreteDistributionAbstractTest.java'], ['ExponentialDistributionTest.java', 'ADD', None, 'commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/ExponentialDistributionTest.java'], ['FDistributionTest.java', 'ADD', None, 'commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/FDistributionTest.java'], ['GammaDistributionTest.java', 'ADD', None, 'commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/GammaDistributionTest.java'], ['GeometricDistributionTest.java', 'ADD', None, 'commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/GeometricDistributionTest.java'], ['GumbelDistributionTest.java', 'ADD', None, 'commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/GumbelDistributionTest.java'], ['HypergeometricDistributionTest.java', 'ADD', None, 'commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/HypergeometricDistributionTest.java'], ['LaplaceDistributionTest.java', 'ADD', None, 'commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/LaplaceDistributionTest.java'], ['LevyDistributionTest.java', 'ADD', None, 'commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/LevyDistributionTest.java'], ['LogNormalDistributionTest.java', 'ADD', None, 'commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/LogNormalDistributionTest.java'], ['LogisticsDistributionTest.java', 'ADD', None, 'commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/LogisticsDistributionTest.java'], ['NakagamiDistributionTest.java', 'ADD', None, 'commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/NakagamiDistributionTest.java'], ['NormalDistributionTest.java', 'ADD', None, 'commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/NormalDistributionTest.java'], ['ParetoDistributionTest.java', 'ADD', None, 'commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/ParetoDistributionTest.java'], ['PascalDistributionTest.java', 'ADD', None, 'commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/PascalDistributionTest.java'], ['PoissonDistributionTest.java', 'ADD', None, 'commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/PoissonDistributionTest.java'], ['TDistributionTest.java', 'ADD', None, 'commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/TDistributionTest.java'], ['TestUtils.java', 'ADD', None, 'commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/TestUtils.java'], ['TriangularDistributionTest.java', 'ADD', None, 'commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/TriangularDistributionTest.java'], ['UniformContinuousDistributionTest.java', 'ADD', None, 'commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/UniformContinuousDistributionTest.java'], ['UniformDiscreteDistributionTest.java', 'ADD', None, 'commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/UniformDiscreteDistributionTest.java'], ['WeibullDistributionTest.java', 'ADD', None, 'commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/WeibullDistributionTest.java'], ['ZipfDistributionTest.java', 'ADD', None, 'commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/ZipfDistributionTest.java'], ['gamma-distribution-shape-1.csv', 'ADD', None, 'commons-statistics-distribution/src/test/resources/org/apache/commons/statistics/distribution/gamma-distribution-shape-1.csv'], ['gamma-distribution-shape-10.csv', 'ADD', None, 'commons-statistics-distribution/src/test/resources/org/apache/commons/statistics/distribution/gamma-distribution-shape-10.csv'], ['gamma-distribution-shape-100.csv', 'ADD', None, 'commons-statistics-distribution/src/test/resources/org/apache/commons/statistics/distribution/gamma-distribution-shape-100.csv'], ['gamma-distribution-shape-1000.csv', 'ADD', None, 'commons-statistics-distribution/src/test/resources/org/apache/commons/statistics/distribution/gamma-distribution-shape-1000.csv'], ['gamma-distribution-shape-142.csv', 'ADD', None, 'commons-statistics-distribution/src/test/resources/org/apache/commons/statistics/distribution/gamma-distribution-shape-142.csv'], ['gamma-distribution-shape-8.csv', 'ADD', None, 'commons-statistics-distribution/src/test/resources/org/apache/commons/statistics/distribution/gamma-distribution-shape-8.csv'], ['gamma-distribution.mac', 'ADD', None, 'commons-statistics-distribution/src/test/resources/org/apache/commons/statistics/distribution/gamma-distribution.mac'], ['testData.txt', 'ADD', None, 'commons-statistics-distribution/src/test/resources/org/apache/commons/statistics/distribution/testData.txt'], ['pom.xml', 'MODIFY', 'pom.xml', 'pom.xml']]",False,['master']
021d0f17bf5b97e8775c36d23ade9c017b98d839,"Create "".gitignore"" file.",1,19,2018-01-21 15:02:26+01:00,"[['.gitignore', 'ADD', None, '.gitignore']]",False,['master']
0efff4bffd4ebbffa8dea12fa701a3c3b3eafd9e,"Report config files (copied from ""Commons RNG"").",5,324,2018-01-21 15:03:16+01:00,"[['checkstyle.xml', 'ADD', None, 'src/main/resources/checkstyle/checkstyle.xml'], ['license-header.txt', 'ADD', None, 'src/main/resources/checkstyle/license-header.txt'], ['clirr-ignored.xml', 'ADD', None, 'src/main/resources/clirr/clirr-ignored.xml'], ['findbugs-exclude-filter.xml', 'ADD', None, 'src/main/resources/findbugs/findbugs-exclude-filter.xml'], ['pmd-ruleset.xml', 'ADD', None, 'src/main/resources/pmd/pmd-ruleset.xml']]",False,['master']
30d7c8f6b528f7859ae46b9dbdecd374c91ab383,Merge branch 'task_STATISTICS-2',76,24966,2018-01-21 15:04:11+01:00,[],True,['master']
05626d011953939c0d2f3de50a516718f8a7253d,Fixed file paths.,33,0,2018-01-22 02:13:43+01:00,"[['AbstractContinuousDistribution.java', 'RENAME', 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/AbstractContinuousDistribution.java', 'commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/AbstractContinuousDistribution.java'], ['AbstractDiscreteDistribution.java', 'RENAME', 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/AbstractDiscreteDistribution.java', 'commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/AbstractDiscreteDistribution.java'], ['BetaDistribution.java', 'RENAME', 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/BetaDistribution.java', 'commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/BetaDistribution.java'], ['BinomialDistribution.java', 'RENAME', 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/BinomialDistribution.java', 'commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/BinomialDistribution.java'], ['CauchyDistribution.java', 'RENAME', 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/CauchyDistribution.java', 'commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/CauchyDistribution.java'], ['ChiSquaredDistribution.java', 'RENAME', 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/ChiSquaredDistribution.java', 'commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/ChiSquaredDistribution.java'], ['ConstantContinuousDistribution.java', 'RENAME', 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/ConstantContinuousDistribution.java', 'commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/ConstantContinuousDistribution.java'], ['ContinuousDistribution.java', 'RENAME', 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/ContinuousDistribution.java', 'commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/ContinuousDistribution.java'], ['DiscreteDistribution.java', 'RENAME', 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/DiscreteDistribution.java', 'commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/DiscreteDistribution.java'], ['DistributionException.java', 'RENAME', 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/DistributionException.java', 'commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/DistributionException.java'], ['ExponentialDistribution.java', 'RENAME', 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/ExponentialDistribution.java', 'commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/ExponentialDistribution.java'], ['FDistribution.java', 'RENAME', 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/FDistribution.java', 'commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/FDistribution.java'], ['GammaDistribution.java', 'RENAME', 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/GammaDistribution.java', 'commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/GammaDistribution.java'], ['GeometricDistribution.java', 'RENAME', 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/GeometricDistribution.java', 'commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/GeometricDistribution.java'], ['GumbelDistribution.java', 'RENAME', 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/GumbelDistribution.java', 'commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/GumbelDistribution.java'], ['HypergeometricDistribution.java', 'RENAME', 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/HypergeometricDistribution.java', 'commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/HypergeometricDistribution.java'], ['LaplaceDistribution.java', 'RENAME', 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/LaplaceDistribution.java', 'commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/LaplaceDistribution.java'], ['LevyDistribution.java', 'RENAME', 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/LevyDistribution.java', 'commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/LevyDistribution.java'], ['LogNormalDistribution.java', 'RENAME', 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/LogNormalDistribution.java', 'commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/LogNormalDistribution.java'], ['LogisticDistribution.java', 'RENAME', 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/LogisticDistribution.java', 'commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/LogisticDistribution.java'], ['NakagamiDistribution.java', 'RENAME', 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/NakagamiDistribution.java', 'commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/NakagamiDistribution.java'], ['NormalDistribution.java', 'RENAME', 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/NormalDistribution.java', 'commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/NormalDistribution.java'], ['ParetoDistribution.java', 'RENAME', 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/ParetoDistribution.java', 'commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/ParetoDistribution.java'], ['PascalDistribution.java', 'RENAME', 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/PascalDistribution.java', 'commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/PascalDistribution.java'], ['PoissonDistribution.java', 'RENAME', 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/PoissonDistribution.java', 'commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/PoissonDistribution.java'], ['SaddlePointExpansion.java', 'RENAME', 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/SaddlePointExpansion.java', 'commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/SaddlePointExpansion.java'], ['TDistribution.java', 'RENAME', 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/TDistribution.java', 'commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/TDistribution.java'], ['TriangularDistribution.java', 'RENAME', 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/TriangularDistribution.java', 'commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/TriangularDistribution.java'], ['UniformContinuousDistribution.java', 'RENAME', 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/UniformContinuousDistribution.java', 'commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/UniformContinuousDistribution.java'], ['UniformDiscreteDistribution.java', 'RENAME', 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/UniformDiscreteDistribution.java', 'commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/UniformDiscreteDistribution.java'], ['WeibullDistribution.java', 'RENAME', 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/WeibullDistribution.java', 'commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/WeibullDistribution.java'], ['ZipfDistribution.java', 'RENAME', 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/ZipfDistribution.java', 'commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/ZipfDistribution.java'], ['package-info.java', 'RENAME', 'commons-statistics-distribution/src/main/java/commons/statistics/distribution/package-info.java', 'commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/package-info.java']]",False,['master']
b9138827f50c34288b76084ee5b9ec26e9bdc491,Typo (Javadoc).,1,2,2018-01-22 02:23:27+01:00,"[['GumbelDistribution.java', 'MODIFY', 'commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/GumbelDistribution.java', 'commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/GumbelDistribution.java']]",False,['master']
8e509223e071b45f78161820e98a6f0b291c4dbd,Javadoc.,2,5,2018-01-22 02:28:32+01:00,"[['AbstractContinuousDistribution.java', 'MODIFY', 'commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/AbstractContinuousDistribution.java', 'commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/AbstractContinuousDistribution.java'], ['UniformContinuousDistribution.java', 'MODIFY', 'commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/UniformContinuousDistribution.java', 'commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/UniformContinuousDistribution.java']]",False,['master']
3259694b7fbc88504c93577b64387c4cf64d03fb,Update commons-parent from 41 to 43.,1,2,2018-01-22 10:21:16-07:00,"[['pom.xml', 'MODIFY', 'pom.xml', 'pom.xml']]",False,['master']
