msg, files, lines, committer_date, 'modified_files'
Initial public release.,404,88984,2017-12-18 16:25:08-08:00,"['LICENSE', 'NOTICE', 'README.md', 'AppendFiles.java', 'CombinedScanTask.java', 'DataFile.java', 'DeleteFiles.java', 'ExpireSnapshots.java', 'FileFormat.java', 'FileScanTask.java', 'Files.java', 'Filterable.java', 'FilteredSnapshot.java', 'Metrics.java', 'PartitionField.java', 'PartitionSpec.java', 'PendingUpdate.java', 'RewriteFiles.java', 'Rollback.java', 'ScanTask.java', 'Schema.java', 'Snapshot.java', 'SnapshotIterable.java', 'StructLike.java', 'Table.java', 'TableScan.java', 'Tables.java', 'UpdateProperties.java', 'UpdateSchema.java', 'AlreadyExistsException.java', 'CommitFailedException.java', 'NoSuchTableException.java', 'RuntimeIOException.java', 'ValidationException.java', 'And.java', 'Binder.java', 'BoundPredicate.java', 'BoundReference.java', 'Evaluator.java', 'Expression.java', 'ExpressionVisitors.java', 'Expressions.java', 'False.java', 'Literal.java', 'Literals.java', 'NamedReference.java', 'Not.java', 'Or.java', 'Predicate.java', 'Projections.java', 'Reference.java', 'ResidualEvaluator.java', 'RewriteNot.java', 'SerializationProxies.java', 'True.java', 'UnboundPredicate.java', 'DelegatingInputStream.java', 'DelegatingOutputStream.java', 'FileAppender.java', 'InputFile.java', 'OutputFile.java', 'PositionOutputStream.java', 'SeekableInputStream.java', 'Bucket.java', 'Dates.java', 'Identity.java', 'ProjectionUtil.java', 'SerializationProxies.java', 'Timestamps.java', 'Transform.java', 'Transforms.java', 'Truncate.java', 'Comparators.java', 'Conversions.java', 'GetProjectedIds.java', 'IndexById.java', 'IndexByName.java', 'PrimitiveHolder.java', 'PruneColumns.java', 'ReassignIds.java', 'Type.java', 'TypeUtil.java', 'Types.java', 'TestHelpers.java', 'TestEvaluatior.java', 'TestExpressionBinding.java', 'TestExpressionHelpers.java', 'TestExpressionSerialization.java', 'TestLiteralSerialization.java', 'TestMiscLiteralConversions.java', 'TestNumericLiteralConversions.java', 'TestPredicateBinding.java', 'TestStringLiteralConversions.java', 'TestBucketing.java', 'TestProjection.java', 'TestResiduals.java', 'TestTransformSerialization.java', 'TestTruncate.java', 'TestBinaryComparator.java', 'TestCharSeqComparator.java', 'TestComparableComparator.java', 'TestSerializableTypes.java', 'Avro.java', 'AvroCustomOrderSchemaVisitor.java', 'AvroFileAppender.java', 'AvroIO.java', 'AvroIterable.java', 'AvroSchemaUtil.java', 'AvroSchemaVisitor.java', 'BuildAvroProjection.java', 'ProjectionDatumReader.java', 'PruneColumns.java', 'SchemaToType.java', 'TypeToSchema.java', 'UUIDConversion.java', 'AvroTestHelpers.java', 'TestAvroReadProjection.java', 'TestReadProjection.java', 'TestSchemaConversions.java', 'build.gradle', 'DynClasses.java', 'DynConstructors.java', 'DynFields.java', 'DynMethods.java', 'BaseFileScanTask.java', 'BaseSnapshot.java', 'BaseTable.java', 'BaseTableScan.java', 'DataFiles.java', 'FastAppend.java', 'FilteredManifest.java', 'GenericDataFile.java', 'ManifestEntry.java', 'ManifestReader.java', 'ManifestWriter.java', 'MergeAppend.java', 'PartitionData.java', 'PartitionSpecParser.java', 'PropertiesUpdate.java', 'RemoveSnapshots.java', 'ReplaceFiles.java', 'RollbackToSnapshot.java', 'SchemaParser.java', 'SchemaUpdate.java', 'SnapshotParser.java', 'SnapshotUpdate.java', 'StreamingDelete.java', 'TableMetadata.java', 'TableMetadataParser.java', 'TableOperations.java', 'TableProperties.java', 'HadoopInputFile.java', 'HadoopOutputFile.java', 'HadoopStreams.java', 'HadoopTableOperations.java', 'HadoopTables.java', 'Util.java', 'CharSequenceWrapper.java', 'Exceptions.java', 'JsonUtil.java', 'Pair.java', 'Tasks.java', 'AssertHelpers.java', 'TableTestBase.java', 'TestFastAppend.java', 'TestMergeAppend.java', 'TestSchemaUpdate.java', 'TestSnapshotJson.java', 'TestTableMetadataJson.java', 'TestTables.java', 'HadoopTableTestBase.java', 'TestHadoopCommits.java', 'allclasses-frame.html', 'allclasses-noframe.html', 'AppendFiles.html', 'BaseTable.html', 'CombinedScanTask.html', 'DataFile.html', 'DataFiles.Builder.html', 'DataFiles.html', 'DeleteFiles.html', 'ExpireSnapshots.html', 'FileFormat.html', 'FileScanTask.html', 'Files.html', 'Filterable.html', 'FilteredManifest.html', 'FilteredSnapshot.html', 'ManifestReader.html', 'Metrics.html', 'PartitionField.html', 'PartitionSpec.Builder.html', 'PartitionSpec.html', 'PartitionSpecParser.html', 'PendingUpdate.html', 'RewriteFiles.html', 'Rollback.html', 'ScanTask.html', 'Schema.html', 'SchemaParser.html', 'Snapshot.html', 'SnapshotParser.html', 'StructLike.html', 'Table.html', 'TableMetadata.html', 'TableMetadataParser.html', 'TableOperations.html', 'TableScan.html', 'UpdateProperties.html', 'UpdateSchema.html', 'Avro.ReadBuilder.html', 'Avro.WriteBuilder.html', 'Avro.html', 'AvroIterable.html', 'AvroSchemaUtil.html', 'AvroSchemaVisitor.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'DynClasses.Builder.html', 'DynClasses.html', 'DynConstructors.Builder.html', 'DynConstructors.Ctor.html', 'DynConstructors.html', 'DynFields.BoundField.html', 'DynFields.Builder.html', 'DynFields.StaticField.html', 'DynFields.UnboundField.html', 'DynFields.html', 'DynMethods.BoundMethod.html', 'DynMethods.Builder.html', 'DynMethods.StaticMethod.html', 'DynMethods.UnboundMethod.html', 'DynMethods.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'AlreadyExistsException.html', 'CommitFailedException.html', 'NoSuchTableException.html', 'RuntimeIOException.html', 'ValidationException.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'And.html', 'Binder.html', 'BoundPredicate.html', 'BoundReference.html', 'Evaluator.html', 'Expression.Operation.html', 'Expression.html', 'ExpressionVisitors.BoundExpressionVisitor.html', 'ExpressionVisitors.ExpressionVisitor.html', 'ExpressionVisitors.html', 'Expressions.html', 'False.html', 'Literal.html', 'NamedReference.html', 'Not.html', 'Or.html', 'Predicate.html', 'Projections.ProjectionEvaluator.html', 'Projections.html', 'Reference.html', 'ResidualEvaluator.html', 'True.html', 'UnboundPredicate.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'HadoopInputFile.html', 'HadoopOutputFile.html', 'HadoopTables.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'DelegatingInputStream.html', 'DelegatingOutputStream.html', 'FileAppender.html', 'InputFile.html', 'OutputFile.html', 'PositionOutputStream.html', 'SeekableInputStream.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'Parquet.ReadBuilder.html', 'Parquet.WriteBuilder.html', 'Parquet.html', 'ParquetMetrics.html', 'ParquetSchemaUtil.html', 'ParquetWriteAdapter.html', 'TypeToMessageType.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'PruneColumns.html', 'SparkDataFile.html', 'SparkFilters.html', 'SparkSchemaUtil.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'IcebergSource.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'Transform.html', 'Transforms.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'Comparators.html', 'Conversions.html', 'IndexByName.html', 'Type.NestedType.html', 'Type.PrimitiveType.html', 'Type.TypeID.html', 'Type.html', 'TypeUtil.CustomOrderSchemaVisitor.html', 'TypeUtil.NextID.html', 'TypeUtil.SchemaVisitor.html', 'TypeUtil.html', 'Types.BinaryType.html', 'Types.BooleanType.html', 'Types.DateType.html', 'Types.DecimalType.html', 'Types.DoubleType.html', 'Types.FixedType.html', 'Types.FloatType.html', 'Types.IntegerType.html', 'Types.ListType.html', 'Types.LongType.html', 'Types.MapType.html', 'Types.NestedField.html', 'Types.StringType.html', 'Types.StructType.html', 'Types.TimeType.html', 'Types.TimestampType.html', 'Types.UUIDType.html', 'Types.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'CharSequenceWrapper.html', 'Exceptions.html', 'JsonUtil.html', 'Pair.html', 'Tasks.Builder.html', 'Tasks.FailureTask.html', 'Tasks.Task.html', 'Tasks.UnrecoverableException.html', 'Tasks.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'constant-values.html', 'deprecated-list.html', 'help-doc.html', 'index-all.html', 'index.html', 'overview-frame.html', 'overview-summary.html', 'overview-tree.html', 'package-list', 'script.js', 'serialized-form.html', 'stylesheet.css', 'MessageTypeToType.java', 'Parquet.java', 'ParquetFilters.java', 'ParquetIO.java', 'ParquetIterable.java', 'ParquetMetrics.java', 'ParquetReadSupport.java', 'ParquetSchemaUtil.java', 'ParquetTypeVisitor.java', 'ParquetWriteAdapter.java', 'ParquetWriteSupport.java', 'PruneColumns.java', 'TypeToMessageType.java', 'TestParquetReadProjection.java', 'TestReadProjection.java', 'settings.gradle', 'PruneColumns.java', 'SparkDataFile.java', 'SparkFilters.java', 'SparkSchemaUtil.java', 'SparkTypeToType.java', 'SparkTypeVisitor.java', 'TypeToSparkType.java', 'SparkAvroReader.java', 'ValueReader.java', 'ValueReaders.java', 'Hive.java', 'IcebergSource.java', 'org.apache.spark.sql.sources.DataSourceRegister', 'SparkTableUtil.scala', 'RandomData.java', 'TestSparkAvroReader.java']"
"Add test for reading Avro files from Spark.

This also fixes some bugs and updates data generation to be valid for
Spark. Decimal generation was producing values larger than the
precision.",13,1000,2017-12-20 13:20:47-08:00,"['BuildAvroProjection.java', 'SchemaToType.java', 'UUIDConversion.java', 'TestSchemaConversions.java', 'StreamingDelete.java', 'UnsafeTransform.scala', 'IcebergSource.java', 'AvroDataTest.java', 'RandomData.java', 'TestHelpers.java', 'TestSparkAvroReader.java', 'TestSparkDateTimes.java', 'TestAvroScan.java']"
"Update Schema API to use ""find"" instead of ""get"".

Find is a better name because the fields may be nested anywhere in the
Schema.",9,66,2017-12-20 13:20:47-08:00,"['PartitionSpec.java', 'Schema.java', 'UpdateSchema.java', 'SchemaUpdate.java', 'TableMetadata.java', 'TestSchemaUpdate.java', 'ParquetFilters.java', 'ParquetSchemaUtil.java', 'TypeToMessageType.java']"
"Add test for Spark scan of Parquet data.

This fixes a couple of bugs, but tests are not passing because Spark
doesn't support INT64 timestamps and Parquet doesn't support UUID.",5,179,2017-12-20 13:20:47-08:00,"['MessageTypeToType.java', 'Parquet.java', 'ParquetIterable.java', 'ParquetTypeVisitor.java', 'TestParquetScan.java']"
Refactor Spark source.,5,617,2017-12-22 11:35:16-08:00,"['DynMethods.java', 'IcebergSource.java', 'Reader.java', 'Stats.java', 'SparkTableUtil.scala']"
Move TestParquetScan into source tests.,1,0,2017-12-22 11:35:16-08:00,['TestParquetScan.java']
Add properties accessor to Table API.,2,15,2017-12-22 11:35:16-08:00,"['Table.java', 'BaseTable.java']"
"Add PartitionSpec.partitionToPath and Transform.toHumanString.

To help implementations construct data file paths, the new
partitionToPath method creates a human-readable String from partition
data. These strings are not intended to be used like Hive's partition
keys. These should never be parsed to recover partition data.",13,630,2017-12-22 11:35:16-08:00,"['PartitionSpec.java', 'Dates.java', 'Identity.java', 'SerializationProxies.java', 'Timestamps.java', 'Transform.java', 'TransformUtil.java', 'Transforms.java', 'Truncate.java', 'TestPartitionPaths.java', 'TestDates.java', 'TestIdentity.java', 'TestTimestamps.java']"
"Add default format table property, make TableProperties public.",1,5,2017-12-22 11:35:16-08:00,['TableProperties.java']
"Fix Spark conversion.

The visitor API maintains a stack of field names, so the TypeToSparkType
class cannot be shared between threads. Each conversion should create a
new one.",2,12,2017-12-22 11:35:16-08:00,"['SparkSchemaUtil.java', 'TypeToSparkType.java']"
