hash,msg,files,lines,committer_date,modified_file,merge,branches
c8b3f3b16f60151f12ce0de8f8d3632e1434a60a,Initial import,134,9221,2012-10-24 14:57:32-04:00,"[['.gitignore', 'ADD'], ['done.txt', 'ADD'], ['notes.txt', 'ADD'], ['pom.xml', 'ADD'], ['GatewayFactory.java', 'ADD'], ['GatewayFilter.java', 'ADD'], ['GatewayMessages.java', 'ADD'], ['GatewayResources.java', 'ADD'], ['GatewayServlet.java', 'ADD'], ['Config.java', 'ADD'], ['GatewayConfigFactory.java', 'ADD'], ['MapSetDigesterRule.java', 'ADD'], ['AbstractGatewayFilter.java', 'ADD'], ['BasicAuthChallengeFilter.java', 'ADD'], ['HtmlUrlRewritingOutputStream.java', 'ADD'], ['JassLoginFilter.java', 'ADD'], ['JsonUrlRewritingOutputStream.java', 'ADD'], ['SessionFilter.java', 'ADD'], ['TraceFilter.java', 'ADD'], ['UrlRewriteFilter.java', 'ADD'], ['UrlRewriteResponse.java', 'ADD'], ['Message.java', 'ADD'], ['MessageLevel.java', 'ADD'], ['MessageLogger.java', 'ADD'], ['MessageLoggerFactory.java', 'ADD'], ['Messages.java', 'ADD'], ['MessagesFactory.java', 'ADD'], ['MessagesInvoker.java', 'ADD'], ['StackTrace.java', 'ADD'], ['JdkMessageLogger.java', 'ADD'], ['JdkMessageLoggerFactory.java', 'ADD'], ['Log4jMessageLogger.java', 'ADD'], ['Log4jMessageLoggerFactory.java', 'ADD'], ['SoutMessageLogger.java', 'ADD'], ['SoutMessageLoggerFactory.java', 'ADD'], ['TestMessageLogger.java', 'ADD'], ['TestMessageLoggerFactory.java', 'ADD'], ['TestMessageRecord.java', 'ADD'], ['Resource.java', 'ADD'], ['Resources.java', 'ADD'], ['ResourcesFactory.java', 'ADD'], ['ResourcesInvoker.java', 'ADD'], ['JettyGatewayFactory.java', 'ADD'], ['AbstractGatewayPivot.java', 'ADD'], ['HttpClientPivot.java', 'ADD'], ['Pivot.java', 'ADD'], ['UrlConnectionPivot.java', 'ADD'], ['CredentialsProvider.java', 'ADD'], ['PathMap.java', 'ADD'], ['PrincipalCredentials.java', 'ADD'], ['Regex.java', 'ADD'], ['Streams.java', 'ADD'], ['UrlRewriter.java', 'ADD'], ['Urls.java', 'ADD'], ['Builder.java', 'ADD'], ['Expander.java', 'ADD'], ['Extractor.java', 'ADD'], ['Matcher.java', 'ADD'], ['Params.java', 'ADD'], ['Parser.java', 'ADD'], ['PathSegment.java', 'ADD'], ['QuerySegment.java', 'ADD'], ['Resolver.java', 'ADD'], ['Rewriter.java', 'ADD'], ['Segment.java', 'ADD'], ['Template.java', 'ADD'], ['GatewayDemoInsecure.java', 'ADD'], ['GatewayDemoSecure.java', 'ADD'], ['GatewayFilterTest.java', 'ADD'], ['GatewayFuncTest.java', 'ADD'], ['GatewayRootFactory.java', 'ADD'], ['GatewayConfigTest.java', 'ADD'], ['HtmlUrlRewritingOutputStreamTest.java', 'ADD'], ['MessagesTest.java', 'ADD'], ['MessagesTestSubject.java', 'ADD'], ['ResourcesTest.java', 'ADD'], ['ResourcesTestFormattingSubject.java', 'ADD'], ['ResourcesTestLocaleSubject.java', 'ADD'], ['ResourcesTestNamedSubject.java', 'ADD'], ['JettyHttpsTest.java', 'ADD'], ['JettyPathMapTest.java', 'ADD'], ['SslSocketTest.java', 'ADD'], ['MockConsoleFactory.java', 'ADD'], ['MockFilter.java', 'ADD'], ['MockServer.java', 'ADD'], ['MockServerBase.java', 'ADD'], ['MockServiceFactory.java', 'ADD'], ['MockServlet.java', 'ADD'], ['MockAmbariResource.java', 'ADD'], ['MockAmbariServer.java', 'ADD'], ['MockDataNodeResource.java', 'ADD'], ['MockDataNodeServer.java', 'ADD'], ['MockNameNodeResource.java', 'ADD'], ['MockNameNodeServer.java', 'ADD'], ['MockTempletonResource.java', 'ADD'], ['MockTempletonServer.java', 'ADD'], ['EmbeddedApacheDirectoryServer.java', 'ADD'], ['EmbeddedApacheDirectoryServerTest.java', 'ADD'], ['ShiroEmbeddedLdapTest.java', 'ADD'], ['PathMapTest.java', 'ADD'], ['UrlRewriterTest.java', 'ADD'], ['ExpanderTest.java', 'ADD'], ['ExtractorTest.java', 'ADD'], ['ParserTest.java', 'ADD'], ['RewriterTest.java', 'ADD'], ['FastTests.java', 'ADD'], ['FunctionalTests.java', 'ADD'], ['IntegrationTests.java', 'ADD'], ['ManualTests.java', 'ADD'], ['MediumTests.java', 'ADD'], ['SlowTests.java', 'ADD'], ['UnitTests.java', 'ADD'], ['org.apache.hadoop.gateway.i18n.messages.MessageLoggerFactory', 'ADD'], ['client-keystore.jks', 'ADD'], ['client-truststore.jks', 'ADD'], ['gateway-demo-insecure.xml', 'ADD'], ['gateway-demo-secure.xml', 'ADD'], ['gateway-digest-test.xml', 'ADD'], ['jaas.conf', 'ADD'], ['krb5.conf', 'ADD'], ['log4j.properties', 'ADD'], ['logging.properties', 'ADD'], ['GatewayFuncTest.xml', 'ADD'], ['NamedBundle_en_ca.properties', 'ADD'], ['ResourcesTestLocaleSubject.properties', 'ADD'], ['ResourcesTestLocaleSubject_en.properties', 'ADD'], ['ResourcesTestLocaleSubject_en_gb.properties', 'ADD'], ['ResourcesTestLocaleSubject_en_us.properties', 'ADD'], ['server-keystore.jks', 'ADD'], ['server-truststore.jks', 'ADD'], ['shiro.ini', 'ADD'], ['test.txt', 'ADD'], ['users.ldif', 'ADD'], ['todo.txt', 'ADD']]",False,['master']
88d58477d2bbe6adea5a315c6b1bd833949ee57c,Added query matching to uritemplates and all existing tests passing.,19,1001,2012-10-25 15:59:18-04:00,"[['HtmlUrlRewritingOutputStream.java', 'MODIFY'], ['UrlRewriteFilter.java', 'MODIFY'], ['Pivot.java', 'MODIFY'], ['Builder.java', 'MODIFY'], ['Expander.java', 'MODIFY'], ['Extractor.java', 'MODIFY'], ['Matcher.java', 'MODIFY'], ['Parser.java', 'MODIFY'], ['PathSegment.java', 'MODIFY'], ['QuerySegment.java', 'MODIFY'], ['Rewriter.java', 'MODIFY'], ['Segment.java', 'MODIFY'], ['GatewayDemoSecure.java', 'MODIFY'], ['ExpanderTest.java', 'MODIFY'], ['ExtractorTest.java', 'MODIFY'], ['MatcherTest.java', 'ADD'], ['ParserTest.java', 'MODIFY'], ['RewriterTest.java', 'MODIFY'], ['todo.txt', 'MODIFY']]",False,['master']
c6a0b5f55b07dee08d1a41ca4a463f6753bd705f,"Added scheme, authority and fragment to Template and Parser.",18,856,2012-10-26 13:27:43-04:00,"[['Parser.java', 'DELETE'], ['Builder.java', 'RENAME'], ['Expander.java', 'RENAME'], ['Extractor.java', 'RENAME'], ['Matcher.java', 'RENAME'], ['Params.java', 'RENAME'], ['Parser.java', 'ADD'], ['PathSegment.java', 'RENAME'], ['QuerySegment.java', 'RENAME'], ['Resolver.java', 'RENAME'], ['Rewriter.java', 'RENAME'], ['Segment.java', 'RENAME'], ['Template.java', 'RENAME'], ['ExpanderTest.java', 'RENAME'], ['ExtractorTest.java', 'RENAME'], ['MatcherTest.java', 'RENAME'], ['ParserTest.java', 'RENAME'], ['RewriterTest.java', 'RENAME']]",False,['master']
93396a759a118f484e2ef1693cf011cb9e32aadb,"UrlTemplate Expander, Extractor and Matches now handle scheme, authority and fragment and tests pass.",16,579,2012-10-26 16:07:48-04:00,"[['Builder.java', 'MODIFY'], ['Expander.java', 'MODIFY'], ['Extractor.java', 'MODIFY'], ['FragmentSegment.java', 'ADD'], ['HostSegment.java', 'ADD'], ['Matcher.java', 'MODIFY'], ['PasswordSegment.java', 'ADD'], ['PortSegment.java', 'ADD'], ['QuerySegment.java', 'MODIFY'], ['SchemeSegment.java', 'ADD'], ['Segment.java', 'MODIFY'], ['Template.java', 'MODIFY'], ['UsernameSegment.java', 'ADD'], ['ExpanderTest.java', 'MODIFY'], ['ExtractorTest.java', 'MODIFY'], ['MatcherTest.java', 'MODIFY']]",False,['master']
83c50eb811bc1de46d78f751f1acfa3d1306a869,Some minor class renaming.,14,202,2012-10-26 16:12:52-04:00,"[['Builder.java', 'MODIFY'], ['Expander.java', 'MODIFY'], ['Extractor.java', 'MODIFY'], ['Fragment.java', 'RENAME'], ['FragmentSegment.java', 'DELETE'], ['Host.java', 'RENAME'], ['Matcher.java', 'MODIFY'], ['Password.java', 'RENAME'], ['Path.java', 'RENAME'], ['Port.java', 'RENAME'], ['Query.java', 'RENAME'], ['Scheme.java', 'ADD'], ['Template.java', 'MODIFY'], ['ParserTest.java', 'MODIFY']]",False,['master']
599d201d6665a685ec8765e2e9da026f063470c7,Pretty good test coverate on urltemplate stuff.,2,84,2012-10-26 16:42:38-04:00,"[['Parser.java', 'MODIFY'], ['ParserTest.java', 'MODIFY']]",False,['master']
92350ed7b5ba3dd7b5c2e4226df9a245242f27d6,Refactored to merge Matcher and Extractor.,10,964,2012-10-29 17:49:01-04:00,"[['Expander.java', 'MODIFY'], ['Extractor.java', 'DELETE'], ['Matcher.java', 'MODIFY'], ['Params.java', 'MODIFY'], ['Parser.java', 'MODIFY'], ['Rewriter.java', 'MODIFY'], ['ExpanderTest.java', 'MODIFY'], ['ExtractorTest.java', 'MODIFY'], ['MatcherTest.java', 'MODIFY'], ['ParserTest.java', 'MODIFY']]",False,['master']
f1c242025e67b02917ab7a781875cf557622bf7c,Completed code coverage for urltemplate package.,4,271,2012-10-30 09:59:57-04:00,"[['Matcher.java', 'MODIFY'], ['Params.java', 'MODIFY'], ['Segment.java', 'MODIFY'], ['SegmentTest.java', 'ADD']]",False,['master']
9bcc9a37a3cddf39e02acb92c4265a8f63bf93b5,Support simplified query syntax and multiple query values.,33,2383,2012-10-31 17:43:51-04:00,"[['notes.txt', 'MODIFY'], ['GatewayFactory.java', 'MODIFY'], ['GatewayFilter.java', 'MODIFY'], ['HtmlUrlRewritingOutputStream.java', 'MODIFY'], ['UrlRewriteFilter.java', 'MODIFY'], ['UrlRewriteResponse.java', 'MODIFY'], ['JettyGatewayFactory.java', 'MODIFY'], ['HttpClientPivot.java', 'MODIFY'], ['ParamResolver.java', 'ADD'], ['UrlConnectionPivot.java', 'MODIFY'], ['PathMap.java', 'DELETE'], ['UrlRewriter.java', 'DELETE'], ['Builder.java', 'MODIFY'], ['CompositeResolver.java', 'RENAME'], ['Expander.java', 'MODIFY'], ['Matcher.java', 'MODIFY'], ['Parser.java', 'MODIFY'], ['Resolver.java', 'MODIFY'], ['Rewriter.java', 'MODIFY'], ['Segment.java', 'MODIFY'], ['Template.java', 'MODIFY'], ['GatewayFilterTest.java', 'MODIFY'], ['GatewayFuncTest.java', 'MODIFY'], ['PathMapTest.java', 'DELETE'], ['UrlRewriterTest.java', 'DELETE'], ['ExpanderTest.java', 'MODIFY'], ['MatcherTest.java', 'MODIFY'], ['ParserTest.java', 'MODIFY'], ['RewriterTest.java', 'MODIFY'], ['SegmentTest.java', 'MODIFY'], ['TemplateTest.java', 'ADD'], ['GatewayFuncTest.xml', 'MODIFY'], ['todo.txt', 'MODIFY']]",False,['master']
d1d36daa13d0c24895a498cc6e3aa0821ae5944a,WebHdfs PUTs working.  URL template stuff complete for now.,17,643,2012-11-01 11:51:09-04:00,"[['UrlRewriteResponse.java', 'MODIFY'], ['HttpClientPivot.java', 'MODIFY'], ['ParamResolver.java', 'MODIFY'], ['WebHdfsPivot.java', 'ADD'], ['Expander.java', 'MODIFY'], ['Matcher.java', 'MODIFY'], ['Params.java', 'MODIFY'], ['Resolver.java', 'MODIFY'], ['Rewriter.java', 'MODIFY'], ['Template.java', 'MODIFY'], ['GatewayFuncTest.java', 'MODIFY'], ['ExpanderTest.java', 'MODIFY'], ['MatcherTest.java', 'MODIFY'], ['MockParams.java', 'RENAME'], ['ParserTest.java', 'MODIFY'], ['RewriterTest.java', 'MODIFY'], ['GatewayFuncTest.xml', 'MODIFY']]",False,['master']
