hash,msg,files,lines,committer_date,modified_file,merge,branches
576c709724551a5122ae9b9e314b6c400f5f778d,Initial commit,1,4,2012-08-31 15:17:05-07:00,"[['README.md', 'ADD', None, 'README.md']]",False,['master']
a8c10efccf35977193cab80b0f17d6a2f7d066d9,initial commit,45,2946,2012-08-31 15:37:32-07:00,"[['.gitignore', 'ADD', None, '.gitignore'], ['pom.xml', 'ADD', None, 'pom.xml'], ['pom.xml', 'ADD', None, 'redelm-column/pom.xml'], ['Log.java', 'ADD', None, 'redelm-column/src/main/java/redelm/Log.java'], ['ColumnDescriptor.java', 'ADD', None, 'redelm-column/src/main/java/redelm/column/ColumnDescriptor.java'], ['ColumnReader.java', 'ADD', None, 'redelm-column/src/main/java/redelm/column/ColumnReader.java'], ['ColumnWriter.java', 'ADD', None, 'redelm-column/src/main/java/redelm/column/ColumnWriter.java'], ['ColumnsStore.java', 'ADD', None, 'redelm-column/src/main/java/redelm/column/ColumnsStore.java'], ['MemColumn.java', 'ADD', None, 'redelm-column/src/main/java/redelm/column/mem/MemColumn.java'], ['MemColumnsStore.java', 'ADD', None, 'redelm-column/src/main/java/redelm/column/mem/MemColumnsStore.java'], ['Group.java', 'ADD', None, 'redelm-column/src/main/java/redelm/data/Group.java'], ['GroupFactory.java', 'ADD', None, 'redelm-column/src/main/java/redelm/data/GroupFactory.java'], ['GroupValueSource.java', 'ADD', None, 'redelm-column/src/main/java/redelm/data/GroupValueSource.java'], ['ColumnIO.java', 'ADD', None, 'redelm-column/src/main/java/redelm/io/ColumnIO.java'], ['ColumnIOFactory.java', 'ADD', None, 'redelm-column/src/main/java/redelm/io/ColumnIOFactory.java'], ['GroupColumnIO.java', 'ADD', None, 'redelm-column/src/main/java/redelm/io/GroupColumnIO.java'], ['MessageColumnIO.java', 'ADD', None, 'redelm-column/src/main/java/redelm/io/MessageColumnIO.java'], ['PrimitiveColumnIO.java', 'ADD', None, 'redelm-column/src/main/java/redelm/io/PrimitiveColumnIO.java'], ['RecordConsumer.java', 'ADD', None, 'redelm-column/src/main/java/redelm/io/RecordConsumer.java'], ['RecordConsumerWrapper.java', 'ADD', None, 'redelm-column/src/main/java/redelm/io/RecordConsumerWrapper.java'], ['RecordReader.java', 'ADD', None, 'redelm-column/src/main/java/redelm/io/RecordReader.java'], ['RecordWriter.java', 'ADD', None, 'redelm-column/src/main/java/redelm/io/RecordWriter.java'], ['GroupType.java', 'ADD', None, 'redelm-column/src/main/java/redelm/schema/GroupType.java'], ['MessageType.java', 'ADD', None, 'redelm-column/src/main/java/redelm/schema/MessageType.java'], ['PrimitiveType.java', 'ADD', None, 'redelm-column/src/main/java/redelm/schema/PrimitiveType.java'], ['Type.java', 'ADD', None, 'redelm-column/src/main/java/redelm/schema/Type.java'], ['TypeVisitor.java', 'ADD', None, 'redelm-column/src/main/java/redelm/schema/TypeVisitor.java'], ['TestMemColumn.java', 'ADD', None, 'redelm-column/src/test/java/redelm/column/mem/TestMemColumn.java'], ['BinaryValue.java', 'ADD', None, 'redelm-column/src/test/java/redelm/data/simple/BinaryValue.java'], ['BoolValue.java', 'ADD', None, 'redelm-column/src/test/java/redelm/data/simple/BoolValue.java'], ['IntValue.java', 'ADD', None, 'redelm-column/src/test/java/redelm/data/simple/IntValue.java'], ['Primitive.java', 'ADD', None, 'redelm-column/src/test/java/redelm/data/simple/Primitive.java'], ['SimpleGroup.java', 'ADD', None, 'redelm-column/src/test/java/redelm/data/simple/SimpleGroup.java'], ['SimpleGroupFactory.java', 'ADD', None, 'redelm-column/src/test/java/redelm/data/simple/SimpleGroupFactory.java'], ['StringValue.java', 'ADD', None, 'redelm-column/src/test/java/redelm/data/simple/StringValue.java'], ['PerfTest.java', 'ADD', None, 'redelm-column/src/test/java/redelm/io/PerfTest.java'], ['TestColumnIO.java', 'ADD', None, 'redelm-column/src/test/java/redelm/io/TestColumnIO.java'], ['pom.xml', 'ADD', None, 'redelm-pig/pom.xml'], ['RedelmLoader.java', 'ADD', None, 'redelm-pig/src/main/java/redelm/pig/RedelmLoader.java'], ['TupleRecordConsumer.java', 'ADD', None, 'redelm-pig/src/main/java/redelm/pig/TupleRecordConsumer.java'], ['TestTupleRecordConsumer.java', 'ADD', None, 'redelm-pig/src/test/java/redelm/pig/TestTupleRecordConsumer.java'], ['pom.xml', 'ADD', None, 'redelm-thrift/pom.xml'], ['SchemaConverter.java', 'ADD', None, 'redelm-thrift/src/main/java/redelm/thrift/SchemaConverter.java'], ['ThriftConverter.java', 'ADD', None, 'redelm-thrift/src/main/java/redelm/thrift/ThriftConverter.java'], ['ThriftRandomGenerator.java', 'ADD', None, 'redelm-thrift/src/main/java/redelm/thrift/ThriftRandomGenerator.java']]",False,['master']
f3cdad30930c2cd73404804cf4ceeca237509a2c,README.md,1,6,2012-08-31 15:40:19-07:00,"[['README.md', 'MODIFY', 'README.md', 'README.md']]",False,['master']
24028799609ef606359d6bee39acd34d8d67a067,Update README.md,1,4,2012-08-31 16:00:47-07:00,"[['README.md', 'MODIFY', 'README.md', 'README.md']]",False,['master']
dbbf9443ffe219862c9744806f34deb2606d21c7,updated name,1,2,2012-09-05 15:52:01-07:00,"[['README.md', 'MODIFY', 'README.md', 'README.md']]",False,['master']
7ed952872d68eacc02d5a13e6b6ded4cf8babc55,Merge branch 'master' of github.com:julienledem/redelm,1,2,2012-09-05 15:52:09-07:00,[],True,['master']
5fb63e9a0743a23735f5b6043abd202a85173202,refactoring tuples to use indices instead of field names,16,450,2012-09-08 11:13:43-07:00,"[['Log.java', 'MODIFY', 'redelm-column/src/main/java/redelm/Log.java', 'redelm-column/src/main/java/redelm/Log.java'], ['ColumnReader.java', 'MODIFY', 'redelm-column/src/main/java/redelm/column/ColumnReader.java', 'redelm-column/src/main/java/redelm/column/ColumnReader.java'], ['MemColumn.java', 'MODIFY', 'redelm-column/src/main/java/redelm/column/mem/MemColumn.java', 'redelm-column/src/main/java/redelm/column/mem/MemColumn.java'], ['Group.java', 'MODIFY', 'redelm-column/src/main/java/redelm/data/Group.java', 'redelm-column/src/main/java/redelm/data/Group.java'], ['GroupValueSource.java', 'MODIFY', 'redelm-column/src/main/java/redelm/data/GroupValueSource.java', 'redelm-column/src/main/java/redelm/data/GroupValueSource.java'], ['ColumnIO.java', 'MODIFY', 'redelm-column/src/main/java/redelm/io/ColumnIO.java', 'redelm-column/src/main/java/redelm/io/ColumnIO.java'], ['GroupColumnIO.java', 'MODIFY', 'redelm-column/src/main/java/redelm/io/GroupColumnIO.java', 'redelm-column/src/main/java/redelm/io/GroupColumnIO.java'], ['MessageColumnIO.java', 'MODIFY', 'redelm-column/src/main/java/redelm/io/MessageColumnIO.java', 'redelm-column/src/main/java/redelm/io/MessageColumnIO.java'], ['PrimitiveColumnIO.java', 'MODIFY', 'redelm-column/src/main/java/redelm/io/PrimitiveColumnIO.java', 'redelm-column/src/main/java/redelm/io/PrimitiveColumnIO.java'], ['RecordConsumer.java', 'MODIFY', 'redelm-column/src/main/java/redelm/io/RecordConsumer.java', 'redelm-column/src/main/java/redelm/io/RecordConsumer.java'], ['RecordConsumerWrapper.java', 'MODIFY', 'redelm-column/src/main/java/redelm/io/RecordConsumerWrapper.java', 'redelm-column/src/main/java/redelm/io/RecordConsumerWrapper.java'], ['RecordReader.java', 'MODIFY', 'redelm-column/src/main/java/redelm/io/RecordReader.java', 'redelm-column/src/main/java/redelm/io/RecordReader.java'], ['PrimitiveType.java', 'MODIFY', 'redelm-column/src/main/java/redelm/schema/PrimitiveType.java', 'redelm-column/src/main/java/redelm/schema/PrimitiveType.java'], ['SimpleGroup.java', 'MODIFY', 'redelm-column/src/test/java/redelm/data/simple/SimpleGroup.java', 'redelm-column/src/test/java/redelm/data/simple/SimpleGroup.java'], ['PerfTest.java', 'MODIFY', 'redelm-column/src/test/java/redelm/io/PerfTest.java', 'redelm-column/src/test/java/redelm/io/PerfTest.java'], ['TestColumnIO.java', 'MODIFY', 'redelm-column/src/test/java/redelm/io/TestColumnIO.java', 'redelm-column/src/test/java/redelm/io/TestColumnIO.java']]",False,['master']
741c6fd77e6ccbebf47eacf021e68379d5063d53,adding push parser test,1,138,2012-09-08 11:30:01-07:00,"[['TestColumnIO.java', 'MODIFY', 'redelm-column/src/test/java/redelm/io/TestColumnIO.java', 'redelm-column/src/test/java/redelm/io/TestColumnIO.java']]",False,['master']
a1a04d51312b169e5f2576c146351c67366a6212,move closing records at the begining of the loop,2,222,2012-09-10 08:35:12-07:00,"[['RecordReader.java', 'MODIFY', 'redelm-column/src/main/java/redelm/io/RecordReader.java', 'redelm-column/src/main/java/redelm/io/RecordReader.java'], ['TestColumnIO.java', 'MODIFY', 'redelm-column/src/test/java/redelm/io/TestColumnIO.java', 'redelm-column/src/test/java/redelm/io/TestColumnIO.java']]",False,['master']
9b68b394fa8f8b339db1b85b5eb1ab744c89ca5c,"make field started and ended only once when value is repeated, refactor out SimpleGroupRecordConsumer",5,553,2012-09-11 16:38:32-07:00,"[['Log.java', 'MODIFY', 'redelm-column/src/main/java/redelm/Log.java', 'redelm-column/src/main/java/redelm/Log.java'], ['RecordReader.java', 'MODIFY', 'redelm-column/src/main/java/redelm/io/RecordReader.java', 'redelm-column/src/main/java/redelm/io/RecordReader.java'], ['SimpleGroupRecordConsumer.java', 'ADD', None, 'redelm-column/src/test/java/redelm/data/simple/SimpleGroupRecordConsumer.java'], ['PerfTest.java', 'MODIFY', 'redelm-column/src/test/java/redelm/io/PerfTest.java', 'redelm-column/src/test/java/redelm/io/PerfTest.java'], ['TestColumnIO.java', 'MODIFY', 'redelm-column/src/test/java/redelm/io/TestColumnIO.java', 'redelm-column/src/test/java/redelm/io/TestColumnIO.java']]",False,['master']
