hash,commit_size,num_test_files
7c309bcab781615c83ab7a02a61f5f181feaf51c,212,0
936bf02296cebab85b80cb1b4da64999a4c4cc53,3281,4
729e5d71b0f670e7268db0f3435e6c0d1b87418e,224,2
cb85d55e6864976ee3f78db46654c8e18e14ba9b,433,1
0a7bca717b87d3a9c28cf9a45c19573999afca77,606,1
056776dd0ad5f30db268575978cd5a6ebd78bf4a,64,0
21725e6b91d4ff2c6b623607b0a5b4620d45cb4c,24,0
f1572fe4280739e3e752c0d3a7a3388a6b155212,526,0
e1b21699367e45c319d9438684108b8c587ca87c,15,0
865f7c6710f895a50ce2bbbe5c6d881b62eb63e1,11,0
d3a931db27baaf50198e6f5a717de163c99110ce,44,0
6f1ffd83a586ffb8e06ec65de37cd3ceeef6c3ed,52,0
385a85c82ed4759f92cbec871fe0decb3306e45d,73,0
5cdd40945d38e3d5b51667d31b014f5d10f56bd7,99,0
8e60491d59709d8f0d1d2a01597888b38c66391a,73,0
416bd9be521c2ecc142e9124eb77ca6472cc2277,362,4
98c5ea2aa27b645032a3c49bbe3295dfe2508842,2,0
48733f582be8ada68c6feb80992825730d8c1b99,25,0
64e08090b91cbd4c5b393b28632547a84623434f,4,0
7a6ca6aaec1cbf57cdc982f11dc8c22339e6b891,93,0
089659a6dfcf6276776e204a1478f957ff58d96b,3,0
2188f292a931059b613c4f3c403ca10da44c73d3,49,0
d2611947e6e18ea6bf0ee60f361253550b45ff2f,29,0
059e50c96898a40fedf70eef30eb34f4d58c5324,139,0
d6be10fd9e23f2fc4cb3a33f56c6fa415da6299b,16,0
f9730ffbc998e0af85f682f82382d50b5722fa97,28,0
b1c81dcd40513eb587c17fab2df900e9468fa8e9,3,0
774486012d4c8669a3bb2a3f8d7e73e4ed704d5a,3,0
4c69da96cb7e60ad9284d61e54614fdafa8cd095,7,0
85f7001223a299c994d8266faa7a1bc36921e759,2,0
2346b0fe8749dd9b678278323692cb67821324d5,7,0
5a6b3aebea9dc0b9f9b4aa90c45b012c58cf8d95,258,2
4b9e51137401e0b60753e00e4171896ee5c7f2a4,131,0
ecf46ba68208304e79899f170ae4e7918e225014,29,0
c9584a333fd2a06b08f6655b1da2c17b216dc4da,507,1
b27098ad28af6d9c66d747552149d690e3164b15,59,1
9907cb72b9d021ae72ae8ead3609ce0ed059cbbc,142,1
5df69c3b26423f44b0e253735a04191543cd20b3,28,0
faefffdd2857a2f494a121d1b78f2083ed33f098,82,1
6984e90ee0f7a9ef1d8e0bbe648553bfeebe8ba0,22,1
5ce06ce766c8a74cebedb8a9818401bf2066b064,98,1
970405cb23500f35bd395e1aa7635b1dc32ed025,124,0
818345f17d19fe00ad877f6112c5410a5c2f01dd,31,0
4d358dd6857c7e99c69dd195e2d64ed3f52be01c,165,0
40df03ab0c7268dd66e8230e699650e5e0defcd2,186,0
817d07e62a16ed88dd5661a2ab1ebbda0b169db5,16,0
f783b2ea565d014275afd9a2dfb627712ca1f044,5,0
217efcb2858f4ffb6d2fbd57bbcd6d0ef61c3826,191,0
